time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0403,0.0000,0.00,0.00,STATIONARY
10,0.0064,0.0000,0.00,0.00,STATIONARY
20,-0.0461,0.0000,0.00,0.00,STATIONARY
30,-0.0036,0.0000,0.00,0.00,STATIONARY
40,-0.0145,0.0000,0.00,0.00,STATIONARY
50,-0.0354,0.0000,0.00,0.00,STATIONARY
60,0.0028,0.0000,0.00,0.00,STATIONARY
70,-0.0328,0.0000,0.00,0.00,STATIONARY
80,-0.0004,0.0000,0.00,0.00,STATIONARY
90,-0.0139,0.0000,0.00,0.00,STATIONARY
100,-0.0065,0.0000,0.00,0.00,STATIONARY
110,-0.0189,0.0000,0.00,0.00,STATIONARY
120,-0.0257,0.0000,0.00,0.00,STATIONARY
130,-0.0147,0.0000,0.00,0.00,STATIONARY
139,-0.0242,0.0000,0.00,0.00,STATIONARY
149,-0.0195,0.0000,0.00,0.00,STATIONARY
160,-0.0271,0.0000,0.00,0.00,STATIONARY
170,-0.0254,0.0000,0.00,0.00,STATIONARY
180,-0.0291,0.0000,0.00,0.00,STATIONARY
190,-0.0168,0.0000,0.00,0.00,STATIONARY
200,-0.0166,0.0000,0.00,0.00,STATIONARY
210,-0.0264,0.0000,0.00,0.00,STATIONARY
220,-0.0170,0.0000,0.00,0.00,STATIONARY
230,-0.0232,0.0000,0.00,0.00,STATIONARY
240,-0.0102,0.0000,0.00,0.00,STATIONARY
250,-0.0077,0.0000,0.00,0.00,STATIONARY
260,-0.0100,0.0000,0.00,0.00,STATIONARY
269,-0.0229,0.0000,0.00,0.00,STATIONARY
280,-0.0197,0.0000,0.00,0.00,STATIONARY
290,-0.0371,0.0000,0.00,0.00,STATIONARY
300,-0.0238,0.0000,0.00,0.00,STATIONARY
310,-0.0154,0.0000,0.00,0.00,STATIONARY
320,-0.0290,0.0000,0.00,0.00,STATIONARY
330,-0.0264,0.0000,0.00,0.00,STATIONARY
340,-0.0267,0.0000,0.00,0.00,STATIONARY
350,-0.0209,0.0000,0.00,0.00,STATIONARY
359,-0.0178,0.0000,0.00,0.00,STATIONARY
370,-0.0121,0.0000,0.00,0.00,STATIONARY
380,-0.0235,0.0000,0.00,0.00,STATIONARY
390,-0.0244,0.0000,0.00,0.00,STATIONARY
400,-0.0113,0.0000,0.00,0.00,STATIONARY
410,-0.0167,0.0000,0.00,0.00,STATIONARY
420,-0.0055,0.0000,0.00,0.00,STATIONARY
429,-0.0278,0.0000,0.00,0.00,STATIONARY
440,-0.0146,0.0000,0.00,0.00,STATIONARY
450,-0.0222,0.0000,0.00,0.00,STATIONARY
460,-0.0056,0.0000,0.00,0.00,STATIONARY
470,-0.0143,0.0000,0.00,0.00,STATIONARY
480,-0.0310,0.0000,0.00,0.00,STATIONARY
490,-0.0156,0.0000,0.00,0.00,STATIONARY
499,-0.0135,0.0000,0.00,0.00,STATIONARY
510,-0.0006,0.0000,0.00,0.00,STATIONARY
520,-0.0143,0.0000,0.00,0.00,STATIONARY
530,-0.0179,0.0000,0.00,0.00,STATIONARY
540,-0.0211,0.0000,0.00,0.00,STATIONARY
550,-0.0114,0.0000,0.00,0.00,STATIONARY
560,-0.0118,0.0000,0.00,0.00,STATIONARY
569,-0.0013,0.0000,0.00,0.00,STATIONARY
580,-0.0018,0.0000,0.00,0.00,STATIONARY
590,-0.0168,0.0000,0.00,0.00,STATIONARY
600,-0.0138,0.0000,0.00,0.00,STATIONARY
610,-0.0150,0.0000,0.00,0.00,STATIONARY
620,-0.0107,0.0000,0.00,0.00,STATIONARY
630,-0.0113,0.0000,0.00,0.00,STATIONARY
640,-0.0167,0.0000,0.00,0.00,STATIONARY
649,-0.0024,0.0000,0.00,0.00,STATIONARY
660,-0.0167,0.0000,0.00,0.00,STATIONARY
670,-0.0240,0.0000,0.00,0.00,STATIONARY
680,-0.0413,0.0000,0.00,0.00,STATIONARY
690,-0.0295,0.0000,0.00,0.00,STATIONARY
700,-0.0198,0.0000,0.00,0.00,STATIONARY
710,-0.0312,0.0000,0.00,0.00,STATIONARY
719,-0.0218,0.0000,0.00,0.00,STATIONARY
730,-0.0056,0.0000,0.00,0.00,STATIONARY
740,-0.0133,0.0000,0.00,0.00,STATIONARY
750,-0.0074,0.0000,0.00,0.00,STATIONARY
760,-0.0161,0.0000,0.00,0.00,STATIONARY
769,-0.0190,0.0000,0.00,0.00,STATIONARY
780,-0.0050,0.0000,0.00,0.00,STATIONARY
789,-0.0025,0.0000,0.00,0.00,STATIONARY
800,0.0090,0.0000,0.00,0.00,STATIONARY
810,-0.0043,0.0000,0.00,0.00,STATIONARY
820,0.0002,0.0000,0.00,0.00,STATIONARY
830,0.0021,0.0000,0.00,0.00,STATIONARY
840,-0.0193,0.0000,0.00,0.00,STATIONARY
850,-0.0061,0.0000,0.00,0.00,STATIONARY
860,-0.0089,0.0000,0.00,0.00,STATIONARY
870,0.0026,0.0000,0.00,0.00,STATIONARY
880,-0.0136,0.0000,0.00,0.00,STATIONARY
890,-0.0112,0.0000,0.00,0.00,STATIONARY
900,-0.0127,0.0000,0.00,0.00,STATIONARY
910,-0.0065,0.0000,0.00,0.00,STATIONARY
920,-0.0190,0.0000,0.00,0.00,STATIONARY
929,-0.0181,0.0000,0.00,0.00,STATIONARY
940,-0.0062,0.0000,0.00,0.00,STATIONARY
950,-0.0098,0.0000,0.00,0.00,STATIONARY
960,-0.0102,0.0000,0.00,0.00,STATIONARY
970,-0.0067,0.0000,0.00,0.00,STATIONARY
980,-0.0155,0.0000,0.00,0.00,STATIONARY
990,0.0004,0.0000,0.00,0.00,STATIONARY
999,-0.0123,0.0000,0.00,0.00,STATIONARY
1010,0.0033,0.0000,0.00,0.00,STATIONARY
1020,-0.0052,0.0000,0.00,0.00,STATIONARY
1030,-0.0087,0.0000,0.00,0.00,STATIONARY
1040,0.0051,0.0000,0.00,0.00,STATIONARY
1050,-0.0093,0.0000,0.00,0.00,STATIONARY
1060,0.0066,0.0000,0.00,0.00,STATIONARY
1069,0.0065,0.0000,0.00,0.00,STATIONARY
1080,0.0051,0.0000,0.00,0.00,STATIONARY
1090,-0.0056,0.0000,0.00,0.00,STATIONARY
1100,-0.0231,0.0000,0.00,0.00,STATIONARY
1110,-0.0211,0.0000,0.00,0.00,STATIONARY
1120,-0.0361,0.0000,0.00,0.00,STATIONARY
1130,-0.0312,0.0000,0.00,0.00,STATIONARY
1139,-0.0346,0.0000,0.00,0.00,STATIONARY
1149,-0.0171,0.0000,0.00,0.00,STATIONARY
1160,-0.0191,0.0000,0.00,0.00,STATIONARY
1170,0.0031,0.0000,0.00,0.00,STATIONARY
1180,-0.0040,0.0000,0.00,0.00,STATIONARY
1190,-0.0111,0.0000,0.00,0.00,STATIONARY
1200,0.0008,0.0000,0.00,0.00,STATIONARY
1209,0.0166,0.0000,0.00,0.00,STATIONARY
1220,0.0092,0.0000,0.00,0.00,STATIONARY
1230,0.0014,0.0000,0.00,0.00,STATIONARY
1240,-0.0107,0.0000,0.00,0.00,STATIONARY
1249,-0.0119,0.0000,0.00,0.00,STATIONARY
1260,-0.0129,0.0000,0.00,0.00,STATIONARY
1269,-0.0273,0.0000,0.00,0.00,STATIONARY
1280,-0.0390,0.0000,0.00,0.00,STATIONARY
1290,-0.0297,0.0000,0.00,0.00,STATIONARY
