time_ms,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,0.0081,16.96,17.41,STATIONARY
65,0.0041,15.85,16.36,STATIONARY
132,-0.0045,14.31,14.98,STATIONARY
197,0.0142,14.03,14.34,STATIONARY
263,0.0178,13.99,14.10,STATIONARY
330,-0.0037,12.65,13.12,STATIONARY
396,0.0190,12.79,12.90,STATIONARY
462,0.0114,12.46,12.60,STATIONARY
528,0.0040,11.71,12.00,STATIONARY
594,0.0024,10.92,11.27,STATIONARY
660,-0.0054,9.71,10.22,STATIONARY
725,-0.0041,8.69,9.19,STATIONARY
792,0.0149,8.90,8.99,STATIONARY
858,0.0207,9.44,9.30,STATIONARY
923,0.0041,8.94,9.05,STATIONARY
990,-0.0102,7.60,8.08,STATIONARY
1055,-0.0005,6.97,7.33,STATIONARY
1122,0.0035,6.62,6.85,STATIONARY
1187,-0.0018,5.98,6.27,STATIONARY
1253,0.0152,6.43,6.38,STATIONARY
1320,0.0152,6.84,6.69,STATIONARY
1385,0.0111,6.97,6.88,STATIONARY
1452,0.0113,7.10,7.03,STATIONARY
1517,-0.0013,6.45,6.64,STATIONARY
1584,0.0143,6.81,6.75,STATIONARY
1650,0.0228,7.64,7.35,STATIONARY
1715,0.0210,8.30,8.00,STATIONARY
1781,0.0049,7.94,7.95,STATIONARY
1848,0.0129,8.09,8.04,STATIONARY
1913,0.0092,8.00,8.01,STATIONARY
1980,0.0162,8.34,8.23,STATIONARY
2046,0.0175,8.73,8.57,STATIONARY
2112,0.0171,9.07,8.91,STATIONARY
2177,0.0001,8.35,8.53,STATIONARY
2243,0.0161,8.66,8.62,STATIONARY
2310,0.0144,8.84,8.77,STATIONARY
2375,-0.0034,7.93,8.20,STATIONARY
2441,0.0065,7.69,7.85,STATIONARY
2508,0.0104,7.70,7.75,STATIONARY
2573,0.0051,7.40,7.51,STATIONARY
2640,0.0098,7.40,7.44,STATIONARY
2705,0.0136,7.63,7.57,STATIONARY
2772,0.0084,7.54,7.55,STATIONARY
2837,0.0161,7.91,7.79,STATIONARY
2903,0.0211,8.56,8.31,STATIONARY
2970,0.0091,8.42,8.39,STATIONARY
3036,-0.0059,7.39,7.71,STATIONARY
3101,0.0066,7.20,7.37,STATIONARY
3167,0.0165,7.63,7.54,STATIONARY
3234,0.0079,7.50,7.51,STATIONARY
3300,-0.0001,6.89,7.09,STATIONARY
3365,-0.0744,1.82,3.53,STATIONARY
3432,-0.0641,-2.22,-0.35,STATIONARY
3498,-0.0820,-7.02,-4.85,STATIONARY
3563,-0.1140,-14.55,-11.39,STATIONARY
3630,-0.0878,-18.71,-16.33,STATIONARY
3696,-0.1115,-26.08,-22.91,STATIONARY
3762,-0.1384,-35.21,-31.20,STATIONARY
3827,-0.1516,-45.21,-40.66,STATIONARY
3894,-0.1312,-53.87,-49.57,STATIONARY
3960,-0.2654,-71.39,-64.29,DOWN
4025,-0.3049,-91.51,-82.65,DOWN
4092,-0.3196,-112.60,-102.86,DOWN
4157,-0.3673,-136.84,-125.79,DOWN
4224,-0.3827,-162.10,-150.29,DOWN
4290,-0.3790,-187.11,-175.13,DOWN
4355,-0.4111,-214.25,-201.52,DOWN
4422,-0.4285,-242.53,-229.19,DOWN
4487,-0.4412,-271.65,-257.83,DOWN
4553,-0.4233,-299.59,-286.00,DOWN
4620,-0.4725,-330.77,-316.21,DOWN
4686,-0.4688,-361.71,-346.91,DOWN
4752,-0.5196,-396.01,-380.03,DOWN
4817,-0.5326,-431.16,-414.52,DOWN
4883,-0.5577,-467.97,-450.58,DOWN
4950,-0.5693,-505.56,-487.68,DOWN
5015,-0.5594,-542.46,-524.63,DOWN
5081,-0.6016,-582.17,-563.45,DOWN
5148,-0.6024,-621.93,-602.90,DOWN
5213,-0.6420,-664.30,-644.32,DOWN
5279,-0.6579,-707.72,-687.09,DOWN
5345,-0.6390,-749.90,-729.46,DOWN
5412,-0.6680,-793.98,-772.99,DOWN
5477,-0.6420,-836.36,-815.74,DOWN
5543,-0.5032,-869.57,-852.06,DOWN
5610,-0.4532,-899.48,-884.05,DOWN
5676,-0.3806,-924.60,-911.41,DOWN
5741,-0.2671,-942.23,-932.20,DOWN
5808,-0.1664,-953.21,-946.38,DOWN
5874,-0.1273,-961.61,-956.66,DOWN
5939,0.0242,-960.02,-958.92,DOWN
6005,0.0609,-956.00,-956.95,DOWN
6072,0.1008,-949.34,-951.82,DOWN
6138,0.0814,-943.97,-946.52,DOWN
6203,0.0516,-940.57,-942.51,DOWN
6270,0.1055,-933.61,-936.50,DOWN
6336,0.0439,-930.71,-932.59,DOWN
6401,0.0954,-924.41,-927.07,DOWN
6467,0.0660,-920.05,-922.34,DOWN
6533,0.0511,-916.68,-918.52,DOWN
6600,0.1361,-907.70,-911.22,DOWN
6665,-0.0214,-909.11,-909.80,DOWN
6732,0.0725,-904.32,-906.10,DOWN
6798,-0.0060,-904.72,-905.17,DOWN
6864,0.0233,-830.93,-903.83,DOWN
6930,0.0622,-826.82,-851.88,DOWN
6995,0.0124,-826.00,-834.42,DOWN
7062,0.0548,-822.39,-826.30,DOWN
7127,-0.0120,-823.18,-824.19,DOWN
7193,0.0381,-820.67,-821.81,DOWN
7259,-0.0113,-821.41,-821.54,DOWN
7326,0.0285,-753.97,-820.19,DOWN
7392,-0.0086,-694.18,-775.90,DOWN
7457,0.0374,-691.71,-719.10,DOWN
7524,0.0148,-690.73,-699.96,DOWN
7589,0.0092,-634.92,-693.33,DOWN
7655,0.0461,-631.87,-651.87,DOWN
7721,-0.0349,-634.17,-639.93,DOWN
7788,0.0448,-631.22,-634.05,DOWN
7853,-0.0279,-633.06,-633.38,DOWN
7919,0.0381,-630.54,-631.46,DOWN
7985,-0.0109,-631.26,-631.33,DOWN
8052,0.0402,-628.61,-629.49,DOWN
8117,-0.0187,-629.84,-629.73,DOWN
8183,-0.0096,-580.04,-630.23,DOWN
8250,0.0634,-575.86,-593.55,DOWN
8315,-0.0243,-577.46,-582.69,DOWN
8381,0.0287,-529.52,-577.88,DOWN
8447,-0.0433,-532.37,-547.18,DOWN
8514,0.0410,-529.67,-535.36,DOWN
8579,-0.0042,-529.94,-531.71,DOWN
8645,0.0223,-486.19,-529.52,DOWN
8712,-0.0163,-448.28,-501.01,DOWN
8778,0.0361,-445.90,-463.83,DOWN
8843,0.0342,-443.65,-450.21,DOWN
8910,-0.0257,-445.34,-446.93,DOWN
8976,0.0658,-441.00,-442.93,DOWN
9041,-0.0350,-443.31,-443.18,DOWN
9108,0.0386,-440.76,-441.55,DOWN
9173,-0.0319,-442.87,-442.44,DOWN
9240,0.0132,-441.99,-442.14,DOWN
9306,-0.0331,-444.18,-443.51,DOWN
9372,0.0146,-443.21,-443.31,DOWN
9438,0.0107,-407.10,-442.77,DOWN
9504,0.0077,-374.07,-418.37,DOWN
9570,0.0222,-342.79,-387.49,DOWN
9635,-0.0033,-315.57,-357.49,DOWN
9702,0.0157,-289.37,-328.51,DOWN
9767,-0.0215,-267.53,-303.06,DOWN
9833,0.0503,-264.21,-276.85,DOWN
9900,-0.0255,-265.89,-269.46,DOWN
9966,-0.0000,-244.62,-267.05,DOWN
10032,0.0078,-224.58,-251.57,DOWN
10097,0.0174,-205.55,-232.58,DOWN
10164,-0.0030,-189.29,-214.48,DOWN
10230,-0.0128,-174.93,-198.06,DOWN
10295,0.0178,-159.85,-181.66,DOWN
10362,-0.0360,-162.23,-168.55,DOWN
10428,0.0524,-158.77,-161.95,DOWN
10494,-0.0284,-160.64,-161.07,DOWN
10560,0.0300,-158.66,-159.44,DOWN
10626,-0.0223,-160.13,-159.91,DOWN
10692,0.0549,-156.51,-157.61,DOWN
10757,0.0110,-155.78,-156.38,DOWN
10823,0.0038,-143.09,-155.81,DOWN
10890,0.0283,-141.22,-145.97,DOWN
10955,-0.0188,-142.46,-143.60,DOWN
11022,0.0506,-139.13,-140.58,DOWN
11087,-0.0287,-141.02,-140.88,DOWN
11154,0.0366,-138.60,-139.34,DOWN
11219,-0.0258,-140.30,-139.99,DOWN
11285,0.0328,-138.14,-138.74,DOWN
11352,-0.0043,-138.42,-138.53,DOWN
11417,0.0088,-137.84,-138.07,DOWN
11483,0.0247,-136.21,-136.82,DOWN
11550,-0.0196,-137.51,-137.28,DOWN
11616,0.0245,-135.89,-136.34,DOWN
11681,-0.0048,-136.21,-136.25,DOWN
11747,0.0408,-133.51,-134.40,DOWN
11814,-0.0109,-134.23,-134.29,DOWN
11880,0.0072,-133.76,-133.93,DOWN
11945,0.0247,0.00,0.00,STATIONARY
12011,0.0006,0.04,0.02,STATIONARY
12078,0.0085,0.55,0.38,STATIONARY
12143,-0.0051,0.20,0.26,STATIONARY
12210,0.0186,1.31,0.96,STATIONARY
12275,0.0054,1.53,1.35,STATIONARY
12342,0.0271,3.05,2.50,STATIONARY
12408,-0.0131,2.01,2.17,STATIONARY
12473,0.0243,3.33,2.95,STATIONARY
12540,-0.0008,3.02,2.99,STATIONARY
12605,0.0279,4.47,3.99,STATIONARY
