time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0172,0.0000,0.00,0.00,STATIONARY
66,-0.0749,0.0000,0.00,0.00,STATIONARY
132,-0.0242,0.0000,0.00,0.00,STATIONARY
198,0.0388,0.0000,0.00,0.00,STATIONARY
264,0.0496,0.0000,0.00,0.00,STATIONARY
330,0.0061,0.0000,0.00,0.00,STATIONARY
396,-0.0018,0.0000,0.00,0.00,STATIONARY
462,-0.0042,0.0000,0.00,0.00,STATIONARY
528,0.0152,0.0000,0.00,0.00,STATIONARY
594,0.0288,0.0000,0.00,0.00,STATIONARY
660,-0.0029,0.0000,0.00,0.00,STATIONARY
726,-0.0026,0.0000,0.00,0.00,STATIONARY
792,0.0074,0.0000,0.00,0.00,STATIONARY
858,0.0011,0.0000,0.00,0.00,STATIONARY
924,0.0097,0.0000,0.00,0.00,STATIONARY
990,-0.0076,0.0000,0.00,0.00,STATIONARY
1056,0.0186,0.0000,0.00,0.00,STATIONARY
1122,-0.0001,0.0000,0.00,0.00,STATIONARY
1188,0.0164,0.0000,0.00,0.00,STATIONARY
1254,0.0205,0.0000,0.00,0.00,STATIONARY
1320,-0.0136,0.0000,0.00,0.00,STATIONARY
1386,0.0038,0.0000,0.00,0.00,STATIONARY
1452,-0.0079,0.0000,0.00,0.00,STATIONARY
1518,-0.0031,0.0000,0.00,0.00,STATIONARY
1584,0.0024,0.0000,0.00,0.00,STATIONARY
1650,0.0025,0.0000,0.00,0.00,STATIONARY
1716,0.0254,0.0000,0.00,0.00,STATIONARY
1782,0.0054,0.0000,0.00,0.00,STATIONARY
1847,0.0077,0.0000,0.00,0.00,STATIONARY
1914,0.0027,0.0000,0.00,0.00,STATIONARY
1980,0.0210,0.0000,0.00,0.00,STATIONARY
2046,0.0020,0.0000,0.00,0.00,STATIONARY
2112,-0.0095,0.0000,0.00,0.00,STATIONARY
2178,0.0098,0.0000,0.00,0.00,STATIONARY
2244,-0.0144,0.0000,0.00,0.00,STATIONARY
2310,0.0043,0.0000,0.00,0.00,STATIONARY
2376,0.0016,0.0000,0.00,0.00,STATIONARY
2442,0.0144,0.0000,0.00,0.00,STATIONARY
2508,0.0427,0.0000,0.00,0.00,STATIONARY
2574,0.0450,0.0000,0.00,0.00,STATIONARY
2640,0.0090,0.0000,0.00,0.00,STATIONARY
2706,0.0441,0.0000,0.00,0.00,STATIONARY
2772,0.0359,0.0000,0.00,0.00,STATIONARY
2837,0.0293,0.0000,0.00,0.00,STATIONARY
2903,0.0304,0.0000,0.00,0.00,STATIONARY
2970,0.0350,0.0000,0.00,0.00,STATIONARY
3036,0.0079,0.0000,0.00,0.00,STATIONARY
3102,0.0284,0.0000,0.00,0.00,STATIONARY
3168,-0.0026,0.0000,0.00,0.00,STATIONARY
3234,0.0047,0.0000,0.00,0.00,STATIONARY
3300,-0.0471,0.0000,0.00,0.00,STATIONARY
