time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,0.0325,0.0000,0.00,0.00,STATIONARY
65,0.0129,0.0000,0.00,0.00,STATIONARY
131,-0.0056,0.0000,0.00,0.00,STATIONARY
197,-0.0152,0.0000,0.00,0.00,STATIONARY
263,-0.0096,0.0000,0.00,0.00,STATIONARY
329,-0.0008,0.0000,0.00,0.00,STATIONARY
395,0.0115,0.0000,0.00,0.00,STATIONARY
461,0.0036,0.0000,0.00,0.00,STATIONARY
527,-0.0001,0.0000,0.00,0.00,STATIONARY
593,-0.0085,0.0000,0.00,0.00,STATIONARY
659,0.0059,0.0000,0.00,0.00,STATIONARY
725,0.0016,0.0000,0.00,0.00,STATIONARY
791,-0.0005,0.0000,0.00,0.00,STATIONARY
857,0.0118,0.0000,0.00,0.00,STATIONARY
923,0.0090,0.0000,0.00,0.00,STATIONARY
989,-0.0115,0.0000,0.00,0.00,STATIONARY
1055,-0.0166,0.0000,0.00,0.00,STATIONARY
1121,-0.0006,0.0000,0.00,0.00,STATIONARY
1187,0.0071,0.0000,0.00,0.00,STATIONARY
1253,-0.0093,0.0000,0.00,0.00,STATIONARY
1319,0.0035,0.0000,0.00,0.00,STATIONARY
1385,-0.0148,0.0000,0.00,0.00,STATIONARY
1451,0.0123,0.0000,0.00,0.00,STATIONARY
1517,-0.0031,0.0000,0.00,0.00,STATIONARY
1583,-0.0076,0.0000,0.00,0.00,STATIONARY
1649,-0.0097,0.0000,0.00,0.00,STATIONARY
1715,-0.0039,0.0000,0.00,0.00,STATIONARY
1781,0.0140,0.0000,0.00,0.00,STATIONARY
1847,-0.0139,0.0000,0.00,0.00,STATIONARY
1913,0.0057,0.0000,0.00,0.00,STATIONARY
1979,-0.0135,0.0000,0.00,0.00,STATIONARY
2045,0.0217,0.0000,0.00,0.00,STATIONARY
2111,0.0414,0.0000,0.00,0.00,STATIONARY
2177,0.0425,0.0000,0.00,0.00,STATIONARY
2243,0.0580,0.0000,0.00,0.00,STATIONARY
2309,0.0660,0.0000,0.00,0.00,STATIONARY
2375,0.0664,0.0000,0.00,0.00,STATIONARY
2441,0.0674,0.0000,13.19,8.90,STATIONARY
2507,0.0771,0.0771,18.28,15.23,STATIONARY
2573,0.0742,0.0742,23.18,20.59,STATIONARY
2639,0.0854,0.0854,28.81,26.14,STATIONARY
2705,0.0820,0.0820,34.23,31.59,STATIONARY
2771,0.0918,0.0918,40.28,37.46,STATIONARY
2837,0.0824,0.0824,0.00,0.00,STATIONARY
2903,0.0764,0.0000,0.00,0.00,STATIONARY
2969,0.1036,0.0000,0.00,0.00,STATIONARY
3035,0.1118,0.0000,19.26,12.99,STATIONARY
3101,0.0820,0.0820,24.67,20.87,STATIONARY
3167,0.0826,0.0826,30.12,27.11,STATIONARY
3233,0.0740,0.0740,35.01,32.44,STATIONARY
3300,0.0916,0.0916,41.06,38.25,STATIONARY
3365,0.0712,0.0712,45.76,43.31,STATIONARY
3431,0.0756,0.0756,0.00,0.00,STATIONARY
3497,0.0733,0.0000,0.00,0.00,STATIONARY
3563,0.0822,0.0000,0.00,0.00,STATIONARY
3629,0.0749,0.0000,15.21,10.26,STATIONARY
3695,0.0878,0.0878,21.00,17.51,STATIONARY
3761,0.0654,0.0654,25.32,22.78,STATIONARY
3827,0.0836,0.0836,30.83,28.21,STATIONARY
