time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0057,0.0000,0.00,0.00,STATIONARY
10,-0.0145,0.0000,0.00,0.00,STATIONARY
20,0.0058,0.0000,0.00,0.00,STATIONARY
30,-0.0058,0.0000,0.00,0.00,STATIONARY
40,0.0107,0.0000,0.00,0.00,STATIONARY
50,0.0086,0.0000,0.00,0.00,STATIONARY
60,0.0106,0.0000,0.00,0.00,STATIONARY
70,0.0075,0.0000,0.00,0.00,STATIONARY
80,0.0140,0.0000,0.00,0.00,STATIONARY
90,-0.0003,0.0000,0.00,0.00,STATIONARY
100,0.0097,0.0000,0.00,0.00,STATIONARY
110,-0.0007,0.0000,0.00,0.00,STATIONARY
120,0.0077,0.0000,0.00,0.00,STATIONARY
130,-0.0030,0.0000,0.00,0.00,STATIONARY
140,0.0031,0.0000,0.00,0.00,STATIONARY
149,-0.0021,0.0000,0.00,0.00,STATIONARY
160,0.0074,0.0000,0.00,0.00,STATIONARY
170,0.0058,0.0000,0.00,0.00,STATIONARY
180,0.0013,0.0000,0.00,0.00,STATIONARY
190,0.0072,0.0000,0.00,0.00,STATIONARY
200,0.0071,0.0000,0.00,0.00,STATIONARY
210,0.0008,0.0000,0.00,0.00,STATIONARY
219,-0.0018,0.0000,0.00,0.00,STATIONARY
230,0.0068,0.0000,0.00,0.00,STATIONARY
240,-0.0047,0.0000,0.00,0.00,STATIONARY
250,-0.0040,0.0000,0.00,0.00,STATIONARY
260,-0.0068,0.0000,0.00,0.00,STATIONARY
270,-0.0006,0.0000,0.00,0.00,STATIONARY
280,-0.0006,0.0000,0.00,0.00,STATIONARY
290,0.0014,0.0000,0.00,0.00,STATIONARY
300,0.0115,0.0000,0.00,0.00,STATIONARY
310,0.0043,0.0000,0.00,0.00,STATIONARY
320,0.0008,0.0000,0.00,0.00,STATIONARY
330,0.0007,0.0000,0.00,0.00,STATIONARY
340,-0.0073,0.0000,0.00,0.00,STATIONARY
350,0.0123,0.0000,0.00,0.00,STATIONARY
359,0.0051,0.0000,0.00,0.00,STATIONARY
370,-0.0008,0.0000,0.00,0.00,STATIONARY
380,0.0014,0.0000,0.00,0.00,STATIONARY
390,0.0041,0.0000,0.00,0.00,STATIONARY
400,-0.0057,0.0000,0.00,0.00,STATIONARY
410,0.0043,0.0000,0.00,0.00,STATIONARY
419,0.0024,0.0000,0.00,0.00,STATIONARY
430,-0.0085,0.0000,0.00,0.00,STATIONARY
440,-0.0212,0.0000,0.00,0.00,STATIONARY
450,-0.0030,0.0000,0.00,0.00,STATIONARY
460,-0.0159,0.0000,0.00,0.00,STATIONARY
470,-0.0023,0.0000,0.00,0.00,STATIONARY
480,0.0040,0.0000,0.00,0.00,STATIONARY
490,0.0063,0.0000,0.00,0.00,STATIONARY
499,0.0091,0.0000,0.00,0.00,STATIONARY
510,0.0063,0.0000,0.00,0.00,STATIONARY
520,0.0053,0.0000,0.00,0.00,STATIONARY
530,0.0061,0.0000,0.00,0.00,STATIONARY
540,0.0037,0.0000,0.00,0.00,STATIONARY
550,0.0039,0.0000,0.00,0.00,STATIONARY
560,-0.0097,0.0000,0.00,0.00,STATIONARY
570,-0.0061,0.0000,0.00,0.00,STATIONARY
579,-0.0093,0.0000,0.00,0.00,STATIONARY
