time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,0.0180,0.0000,0.00,0.00,STATIONARY
66,0.0179,0.0000,0.00,0.00,STATIONARY
132,0.0296,0.0000,0.00,0.00,STATIONARY
198,0.0202,0.0000,0.00,0.00,STATIONARY
263,0.0262,0.0000,0.00,0.00,STATIONARY
330,0.0075,0.0000,0.00,0.00,STATIONARY
395,0.0147,0.0000,0.00,0.00,STATIONARY
462,0.0276,0.0000,0.00,0.00,STATIONARY
528,0.0095,0.0000,0.00,0.00,STATIONARY
594,0.0180,0.0000,0.00,0.00,STATIONARY
660,0.0124,0.0000,0.00,0.00,STATIONARY
726,0.0158,0.0000,0.00,0.00,STATIONARY
792,0.0127,0.0000,0.00,0.00,STATIONARY
857,0.0092,0.0000,0.00,0.00,STATIONARY
924,0.0088,0.0000,0.00,0.00,STATIONARY
990,0.0012,0.0000,0.00,0.00,STATIONARY
1056,0.0115,0.0000,0.00,0.00,STATIONARY
1122,-0.0053,0.0000,0.00,0.00,STATIONARY
1188,-0.0064,0.0000,0.00,0.00,STATIONARY
1254,0.0078,0.0000,0.00,0.00,STATIONARY
1319,0.0035,0.0000,0.00,0.00,STATIONARY
1385,0.0045,0.0000,0.00,0.00,STATIONARY
1452,0.0038,0.0000,0.00,0.00,STATIONARY
1518,0.0037,0.0000,0.00,0.00,STATIONARY
1583,-0.0133,0.0000,0.00,0.00,STATIONARY
1650,0.0047,0.0000,0.00,0.00,STATIONARY
1716,0.0049,0.0000,0.00,0.00,STATIONARY
1782,-0.0076,0.0000,0.00,0.00,STATIONARY
1848,-0.0045,0.0000,0.00,0.00,STATIONARY
1914,-0.0019,0.0000,0.00,0.00,STATIONARY
1980,0.0029,0.0000,0.00,0.00,STATIONARY
2045,-0.0047,0.0000,0.00,0.00,STATIONARY
2112,0.0050,0.0000,0.00,0.00,STATIONARY
2177,-0.0202,0.0000,0.00,0.00,STATIONARY
2244,-0.0027,0.0000,0.00,0.00,STATIONARY
2310,-0.0084,0.0000,0.00,0.00,STATIONARY
2376,0.0073,0.0000,0.00,0.00,STATIONARY
2442,-0.0073,0.0000,0.00,0.00,STATIONARY
2508,-0.0009,0.0000,0.00,0.00,STATIONARY
2574,-0.0101,0.0000,0.00,0.00,STATIONARY
2640,0.0153,0.0000,0.00,0.00,STATIONARY
2706,-0.0149,0.0000,0.00,0.00,STATIONARY
2772,-0.0031,0.0000,0.00,0.00,STATIONARY
2838,0.0045,0.0000,0.00,0.00,STATIONARY
2903,-0.0000,0.0000,0.00,0.00,STATIONARY
2970,0.0085,0.0000,0.00,0.00,STATIONARY
3035,-0.0066,0.0000,0.00,0.00,STATIONARY
3102,0.0117,0.0000,0.00,0.00,STATIONARY
3168,-0.0079,0.0000,0.00,0.00,STATIONARY
3234,-0.0013,0.0000,0.00,0.00,STATIONARY
3300,-0.0069,0.0000,0.00,0.00,STATIONARY
3366,-0.0065,0.0000,0.00,0.00,STATIONARY
3432,-0.0084,0.0000,0.00,0.00,STATIONARY
3498,-0.0086,0.0000,0.00,0.00,STATIONARY
3564,0.0082,0.0000,0.00,0.00,STATIONARY
3630,-0.0122,0.0000,0.00,0.00,STATIONARY
3696,-0.0084,0.0000,0.00,0.00,STATIONARY
3762,-0.0060,0.0000,0.00,0.00,STATIONARY
3828,-0.0504,0.0000,0.00,0.00,STATIONARY
3894,-0.0948,0.0000,0.00,0.00,STATIONARY
3959,-0.0668,0.0000,0.00,0.00,STATIONARY
4026,-0.1266,0.0000,-19.02,-12.83,STATIONARY
4092,-0.1169,-0.1169,0.00,0.00,STATIONARY
4158,-0.1216,0.0000,0.00,0.00,STATIONARY
4223,-0.1318,0.0000,0.00,0.00,STATIONARY
4290,-0.1528,0.0000,-26.81,-18.09,STATIONARY
4356,-0.1484,-0.1484,-36.60,-30.58,STATIONARY
4422,-0.2144,-0.2144,-50.76,-44.19,STATIONARY
