time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0072,0.0000,0.00,0.00,STATIONARY
66,0.0017,0.0000,0.00,0.00,STATIONARY
131,0.0003,0.0000,0.00,0.00,STATIONARY
198,-0.0044,0.0000,0.00,0.00,STATIONARY
264,-0.0005,0.0000,0.00,0.00,STATIONARY
330,-0.0134,0.0000,0.00,0.00,STATIONARY
396,-0.0017,0.0000,0.00,0.00,STATIONARY
462,0.0000,0.0000,0.00,0.00,STATIONARY
528,-0.0020,0.0000,0.00,0.00,STATIONARY
593,0.0045,0.0000,0.00,0.00,STATIONARY
660,0.0087,0.0000,0.00,0.00,STATIONARY
726,0.0063,0.0000,0.00,0.00,STATIONARY
792,0.0004,0.0000,0.00,0.00,STATIONARY
858,-0.0059,0.0000,0.00,0.00,STATIONARY
924,0.0098,0.0000,0.00,0.00,STATIONARY
990,-0.0130,0.0000,0.00,0.00,STATIONARY
1056,0.0104,0.0000,0.00,0.00,STATIONARY
1122,0.0011,0.0000,0.00,0.00,STATIONARY
1188,0.0053,0.0000,0.00,0.00,STATIONARY
1254,-0.0072,0.0000,0.00,0.00,STATIONARY
1319,0.0011,0.0000,0.00,0.00,STATIONARY
1386,0.0061,0.0000,0.00,0.00,STATIONARY
1452,-0.0035,0.0000,0.00,0.00,STATIONARY
1518,-0.0016,0.0000,0.00,0.00,STATIONARY
1584,0.0101,0.0000,0.00,0.00,STATIONARY
1650,0.0138,0.0000,0.00,0.00,STATIONARY
1716,-0.0059,0.0000,0.00,0.00,STATIONARY
1781,-0.0011,0.0000,0.00,0.00,STATIONARY
1848,-0.0034,0.0000,0.00,0.00,STATIONARY
1914,-0.0008,0.0000,0.00,0.00,STATIONARY
1980,-0.0007,0.0000,0.00,0.00,STATIONARY
2046,0.0043,0.0000,0.00,0.00,STATIONARY
2112,0.0124,0.0000,0.00,0.00,STATIONARY
2178,0.0021,0.0000,0.00,0.00,STATIONARY
2244,-0.0007,0.0000,0.00,0.00,STATIONARY
2309,-0.0183,0.0000,0.00,0.00,STATIONARY
2376,0.0104,0.0000,0.00,0.00,STATIONARY
2442,-0.0030,0.0000,0.00,0.00,STATIONARY
2507,-0.0017,0.0000,0.00,0.00,STATIONARY
2574,-0.0047,0.0000,0.00,0.00,STATIONARY
2640,-0.0049,0.0000,0.00,0.00,STATIONARY
2706,-0.0021,0.0000,0.00,0.00,STATIONARY
2771,0.0053,0.0000,0.00,0.00,STATIONARY
2838,0.0046,0.0000,0.00,0.00,STATIONARY
2904,-0.0053,0.0000,0.00,0.00,STATIONARY
2970,0.0036,0.0000,0.00,0.00,STATIONARY
3036,0.0116,0.0000,0.00,0.00,STATIONARY
3101,0.0010,0.0000,0.00,0.00,STATIONARY
3168,0.0015,0.0000,0.00,0.00,STATIONARY
3234,0.0049,0.0000,0.00,0.00,STATIONARY
3300,0.0161,0.0000,0.00,0.00,STATIONARY
3366,0.0092,0.0000,0.00,0.00,STATIONARY
3432,0.0033,0.0000,0.00,0.00,STATIONARY
3498,0.0103,0.0000,0.00,0.00,STATIONARY
3564,0.0029,0.0000,0.00,0.00,STATIONARY
3630,0.0149,0.0000,0.00,0.00,STATIONARY
3696,0.0138,0.0000,0.00,0.00,STATIONARY
3762,0.0091,0.0000,0.00,0.00,STATIONARY
3827,-0.0050,0.0000,0.00,0.00,STATIONARY
3894,-0.0072,0.0000,0.00,0.00,STATIONARY
3959,-0.0022,0.0000,0.00,0.00,STATIONARY
4026,-0.0039,0.0000,0.00,0.00,STATIONARY
4092,0.0114,0.0000,0.00,0.00,STATIONARY
4158,-0.0041,0.0000,0.00,0.00,STATIONARY
4224,0.0107,0.0000,0.00,0.00,STATIONARY
4289,0.0118,0.0000,0.00,0.00,STATIONARY
4356,0.0045,0.0000,0.00,0.00,STATIONARY
4421,-0.0153,0.0000,0.00,0.00,STATIONARY
4488,0.0050,0.0000,0.00,0.00,STATIONARY
4554,0.0021,0.0000,0.00,0.00,STATIONARY
4620,0.0079,0.0000,0.00,0.00,STATIONARY
4686,0.0036,0.0000,0.00,0.00,STATIONARY
4752,0.0080,0.0000,0.00,0.00,STATIONARY
4818,0.0002,0.0000,0.00,0.00,STATIONARY
4883,0.0032,0.0000,0.00,0.00,STATIONARY
4949,-0.0001,0.0000,0.00,0.00,STATIONARY
5016,0.0221,0.0000,0.00,0.00,STATIONARY
5082,-0.0046,0.0000,0.00,0.00,STATIONARY
5147,-0.0003,0.0000,0.00,0.00,STATIONARY
5214,-0.0014,0.0000,0.00,0.00,STATIONARY
5280,0.0063,0.0000,0.00,0.00,STATIONARY
5346,-0.0085,0.0000,0.00,0.00,STATIONARY
5412,-0.0028,0.0000,0.00,0.00,STATIONARY
5478,-0.0023,0.0000,0.00,0.00,STATIONARY
5544,-0.0133,0.0000,0.00,0.00,STATIONARY
5610,0.0029,0.0000,0.00,0.00,STATIONARY
5676,0.0013,0.0000,0.00,0.00,STATIONARY
5742,0.0037,0.0000,0.00,0.00,STATIONARY
5808,0.0053,0.0000,0.00,0.00,STATIONARY
5873,0.0078,0.0000,0.00,0.00,STATIONARY
5940,-0.0048,0.0000,0.00,0.00,STATIONARY
