time_ms,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,0.0000,0.00,0.00,STATIONARY
66,0.0000,0.00,0.00,STATIONARY
132,0.0000,0.00,0.00,STATIONARY
198,0.0000,0.00,0.00,STATIONARY
264,0.0000,0.00,0.00,STATIONARY
330,0.0000,0.00,0.00,STATIONARY
396,0.0000,0.00,0.00,STATIONARY
462,0.0000,0.00,0.00,STATIONARY
528,0.0000,0.00,0.00,STATIONARY
594,0.0000,0.00,0.00,STATIONARY
660,0.0000,0.00,0.00,STATIONARY
726,0.0000,0.00,0.00,STATIONARY
792,0.0000,0.00,0.00,STATIONARY
858,0.0000,0.00,0.00,STATIONARY
924,0.0000,0.00,0.00,STATIONARY
990,0.0000,0.00,0.00,STATIONARY
1056,0.0000,0.00,0.00,STATIONARY
1122,0.0000,0.00,0.00,STATIONARY
1188,0.0000,0.00,0.00,STATIONARY
1254,0.0000,0.00,0.00,STATIONARY
1320,0.0000,0.00,0.00,STATIONARY
1386,0.0000,0.00,0.00,STATIONARY
1452,0.0000,0.00,0.00,STATIONARY
1518,0.0000,0.00,0.00,STATIONARY
1584,0.0000,0.00,0.00,STATIONARY
1650,0.0000,0.00,0.00,STATIONARY
1716,0.0000,0.00,0.00,STATIONARY
1782,0.0000,0.00,0.00,STATIONARY
1848,0.0000,0.00,0.00,STATIONARY
1914,0.0000,0.00,0.00,STATIONARY
1980,0.0000,0.00,0.00,STATIONARY
2046,0.0000,0.00,0.00,STATIONARY
2112,0.0000,0.00,0.00,STATIONARY
2178,0.0000,0.00,0.00,STATIONARY
2244,0.0000,0.00,0.00,STATIONARY
2310,0.0000,0.00,0.00,STATIONARY
2376,0.0000,0.00,0.00,STATIONARY
2442,0.0000,0.00,0.00,STATIONARY
2507,0.0000,0.00,0.00,STATIONARY
2574,0.0000,0.00,0.00,STATIONARY
2640,0.0000,0.00,0.00,STATIONARY
2706,0.0000,0.00,0.00,STATIONARY
2772,0.0000,0.00,0.00,STATIONARY
2838,0.0000,0.00,0.00,STATIONARY
2904,0.0000,0.00,0.00,STATIONARY
2970,0.0000,0.00,0.00,STATIONARY
3036,0.0000,0.00,0.00,STATIONARY
3102,0.0000,0.00,0.00,STATIONARY
3168,-0.1297,-8.56,-5.78,STATIONARY
3234,-0.1482,-18.34,-14.25,STATIONARY
3300,-0.1548,-28.56,-23.90,STATIONARY
3366,-0.1763,-40.19,-34.89,STATIONARY
3432,-0.1874,-52.56,-46.82,DOWN
3498,-0.1734,-64.01,-58.41,DOWN
3564,-0.1807,-75.94,-70.23,DOWN
3630,-0.2143,-90.08,-83.63,DOWN
3696,-0.2283,-105.15,-98.15,DOWN
3762,-0.3487,-128.16,-118.40,DOWN
3828,-0.3553,-151.61,-140.81,DOWN
3894,-0.3673,-175.86,-164.45,DOWN
3960,-0.3988,-202.18,-189.91,DOWN
4026,-0.4138,-229.49,-216.61,DOWN
4092,-0.4504,-259.21,-245.35,DOWN
4158,-0.4438,-288.50,-274.46,DOWN
4224,-0.4818,-320.30,-305.39,DOWN
4290,-0.5014,-353.39,-337.77,DOWN
4356,-0.4939,-385.99,-370.30,DOWN
4422,-0.5492,-422.24,-405.34,DOWN
4488,-0.5306,-457.25,-440.36,DOWN
4554,-0.5629,-494.41,-476.82,DOWN
4620,-0.5706,-532.07,-514.09,DOWN
4686,-0.5865,-570.77,-552.33,DOWN
4752,-0.6232,-611.90,-592.52,DOWN
4818,-0.6200,-652.83,-633.21,DOWN
4884,-0.6281,-694.28,-674.41,DOWN
4950,-0.6650,-738.17,-717.43,DOWN
5016,-0.6580,-781.60,-760.72,DOWN
5082,-0.7038,-828.06,-806.15,DOWN
5148,-0.7331,-876.44,-853.57,DOWN
5214,-0.6924,-922.14,-899.83,DOWN
5280,-0.6064,-962.16,-941.88,DOWN
5346,-0.5306,-997.18,-979.19,DOWN
5412,-0.4438,-1026.47,-1011.09,DOWN
5478,-0.3560,-1049.97,-1037.32,DOWN
5544,-0.2716,-1067.90,-1057.95,DOWN
5610,-0.2070,-1081.56,-1073.88,DOWN
5676,0.0000,-1081.56,-1079.06,DOWN
5742,0.0000,-1081.56,-1080.75,DOWN
5808,0.0000,-1081.56,-1081.30,DOWN
5874,0.0000,-1081.56,-1081.48,DOWN
5940,0.0000,-1081.56,-1081.54,DOWN
6006,0.1039,-1074.70,-1076.93,DOWN
6072,0.0000,-1074.70,-1075.43,DOWN
6138,0.0000,-1074.70,-1074.94,DOWN
6204,0.0000,-1074.70,-1074.78,DOWN
6270,0.0000,-1074.70,-1074.73,DOWN
6336,0.0000,-1074.70,-1074.71,DOWN
6402,0.0000,-1074.70,-1074.71,DOWN
6468,0.0000,-1074.70,-1074.71,DOWN
6534,0.0000,-1074.70,-1074.70,DOWN
6600,0.0000,-1074.70,-1074.70,DOWN
6666,0.0000,-1074.70,-1074.70,DOWN
6732,0.0000,-1074.70,-1074.70,DOWN
6798,0.0000,-1074.70,-1074.70,DOWN
6864,0.0000,-1074.70,-1074.70,DOWN
6930,0.0000,-1074.70,-1074.70,DOWN
6996,0.0000,-1074.70,-1074.70,DOWN
7062,0.0000,-1074.70,-1074.70,DOWN
7128,0.0000,-1074.70,-1074.70,DOWN
7194,0.0000,-1074.70,-1074.70,DOWN
7260,0.0000,-1074.70,-1074.70,DOWN
7326,0.0000,-1074.70,-1074.70,DOWN
7392,0.0000,-1074.70,-1074.70,DOWN
7458,0.0000,-1074.70,-1074.70,DOWN
7523,0.0000,-1074.70,-1074.70,DOWN
7590,0.0000,-1074.70,-1074.70,DOWN
7656,0.0000,-1074.70,-1074.70,DOWN
7722,0.0000,-1074.70,-1074.70,DOWN
7787,0.0000,-1074.70,-1074.70,DOWN
7854,0.0000,-1074.70,-1074.70,DOWN
7920,0.0000,-1074.70,-1074.70,DOWN
7986,0.0000,-1074.70,-1074.70,DOWN
8052,0.0000,-1074.70,-1074.70,DOWN
8118,0.0000,-1074.70,-1074.70,DOWN
8184,0.0000,-1074.70,-1074.70,DOWN
8250,0.0000,-1074.70,-1074.70,DOWN
8316,0.0000,-1074.70,-1074.70,DOWN
8382,0.0000,-1074.70,-1074.70,DOWN
8448,0.0000,-1074.70,-1074.70,DOWN
8514,0.0000,-1074.70,-1074.70,DOWN
8580,0.0000,-1074.70,-1074.70,DOWN
8646,0.0000,-1074.70,-1074.70,DOWN
8712,0.0000,-1074.70,-1074.70,DOWN
8778,0.0000,-1074.70,-1074.70,DOWN
8843,0.0000,-1074.70,-1074.70,DOWN
8910,0.0000,-1074.70,-1074.70,DOWN
8976,0.0000,-1074.70,-1074.70,DOWN
9042,0.0000,-1074.70,-1074.70,DOWN
9108,0.0000,-1074.70,-1074.70,DOWN
9174,0.0000,-1074.70,-1074.70,DOWN
9240,0.0000,-1074.70,-1074.70,DOWN
9306,0.0000,-1074.70,-1074.70,DOWN
9372,0.0000,-1074.70,-1074.70,DOWN
9437,0.0000,-1074.70,-1074.70,DOWN
9504,0.0000,-1074.70,-1074.70,DOWN
9570,0.0000,-1074.70,-1074.70,DOWN
9636,0.0000,-1074.70,-1074.70,DOWN
9702,0.0000,-1074.70,-1074.70,DOWN
9768,0.0000,-1074.70,-1074.70,DOWN
9834,0.0000,-1074.70,-1074.70,DOWN
9900,0.0000,-1074.70,-1074.70,DOWN
9966,0.0000,-1074.70,-1074.70,DOWN
10032,0.0000,-1074.70,-1074.70,DOWN
10098,0.0000,-1074.70,-1074.70,DOWN
10164,0.0000,-1074.70,-1074.70,DOWN
10230,0.0000,-1074.70,-1074.70,DOWN
10296,0.0000,-1074.70,-1074.70,DOWN
10362,0.0000,-1074.70,-1074.70,DOWN
10428,0.0000,-1074.70,-1074.70,DOWN
10494,0.0000,-1074.70,-1074.70,DOWN
10560,0.0000,-1074.70,-1074.70,DOWN
10625,0.0000,-1074.70,-1074.70,DOWN
10692,0.0000,-1074.70,-1074.70,DOWN
