time_ms,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0060,2.10,2.31,STATIONARY
65,-0.0074,1.55,1.80,STATIONARY
132,-0.0084,0.96,1.23,STATIONARY
198,-0.0040,0.67,0.85,STATIONARY
263,-0.0051,0.32,0.49,STATIONARY
329,-0.0159,-0.70,-0.31,STATIONARY
396,-0.0052,-1.00,-0.78,STATIONARY
462,0.0085,-0.43,-0.54,STATIONARY
528,0.0044,-0.13,-0.27,STATIONARY
594,-0.0244,-1.67,-1.22,STATIONARY
660,-0.0085,-2.14,-1.84,STATIONARY
725,0.0017,-1.95,-1.92,STATIONARY
791,-0.0024,-2.02,-1.99,STATIONARY
858,-0.0094,-2.54,-2.36,STATIONARY
923,-0.0147,-3.37,-3.04,STATIONARY
989,0.0015,-3.14,-3.11,STATIONARY
1056,0.0084,-2.48,-2.69,STATIONARY
1122,-0.0073,-2.84,-2.79,STATIONARY
1188,-0.0023,-2.88,-2.85,STATIONARY
1253,-0.0190,-3.96,-3.60,STATIONARY
1320,0.0019,-3.68,-3.66,STATIONARY
1385,-0.0037,-3.77,-3.73,STATIONARY
1451,-0.0090,-4.19,-4.04,STATIONARY
1518,0.0033,-3.81,-3.89,STATIONARY
1584,-0.0085,-4.20,-4.10,STATIONARY
1649,-0.0167,-5.08,-4.76,STATIONARY
1715,0.0193,-3.65,-4.02,STATIONARY
1782,0.0007,-3.47,-3.64,STATIONARY
1847,0.0001,-3.32,-3.43,STATIONARY
1913,-0.0032,-3.40,-3.41,STATIONARY
1980,-0.0072,-3.72,-3.62,STATIONARY
2046,-0.0117,-4.31,-4.08,STATIONARY
2111,0.0010,-4.07,-4.08,STATIONARY
2178,-0.0127,-4.71,-4.51,STATIONARY
2244,-0.0007,-4.57,-4.55,STATIONARY
2310,-0.0116,-5.12,-4.93,STATIONARY
2376,0.0098,-4.30,-4.50,STATIONARY
2441,-0.0029,-4.31,-4.37,STATIONARY
2508,0.0048,-3.83,-4.00,STATIONARY
2573,0.0015,-3.58,-3.72,STATIONARY
2640,0.0033,-3.23,-3.39,STATIONARY
2705,-0.0012,-3.18,-3.25,STATIONARY
2772,-0.0018,-3.17,-3.19,STATIONARY
2838,0.0139,-2.16,-2.49,STATIONARY
2903,-0.0052,-2.40,-2.43,STATIONARY
2970,0.0152,-1.34,-1.69,STATIONARY
3035,-0.0116,-2.02,-1.91,STATIONARY
3101,0.0007,-1.90,-1.90,STATIONARY
3168,-0.0098,-2.44,-2.27,STATIONARY
3234,0.0028,-2.17,-2.20,STATIONARY
3300,0.0017,-1.97,-2.05,STATIONARY
3365,-0.0059,-2.26,-2.19,STATIONARY
3431,-0.0069,-2.61,-2.48,STATIONARY
3498,-0.0008,-2.56,-2.53,STATIONARY
3563,-0.0113,-3.17,-2.96,STATIONARY
3629,0.0096,-2.44,-2.61,STATIONARY
3696,-0.0009,-2.39,-2.46,STATIONARY
3762,0.0075,-1.82,-2.03,STATIONARY
3827,0.0086,-1.20,-1.47,STATIONARY
3893,-0.0061,-1.54,-1.52,STATIONARY
3960,-0.0022,-1.62,-1.59,STATIONARY
4025,0.0041,-1.30,-1.39,STATIONARY
4091,0.0001,-1.24,-1.29,STATIONARY
4158,-0.0486,-4.26,-3.30,STATIONARY
4224,-0.0290,-5.93,-5.07,STATIONARY
4289,-0.0490,-8.79,-7.58,STATIONARY
4355,-0.0415,-11.07,-9.94,STATIONARY
4422,-0.0300,-12.53,-11.69,STATIONARY
4488,-0.0349,-14.24,-13.41,STATIONARY
4553,-0.0291,-15.52,-14.83,STATIONARY
4620,-0.0347,-17.09,-16.36,STATIONARY
4686,-0.0178,-17.53,-17.15,STATIONARY
4751,-0.1016,-23.27,-21.28,STATIONARY
4818,-0.1166,-29.72,-26.98,STATIONARY
4884,-0.0732,-33.18,-31.16,STATIONARY
4949,-0.0653,-35.99,-34.42,STATIONARY
5015,-0.0812,-39.70,-37.98,STATIONARY
5081,-0.0717,-42.65,-41.13,STATIONARY
5148,-0.0476,-43.97,-43.04,STATIONARY
5213,-0.0519,-45.50,-44.70,STATIONARY
5280,-0.0471,-46.66,-46.02,STATIONARY
5345,-0.0371,-47.15,-46.78,STATIONARY
5412,-0.0427,-47.97,-47.58,STATIONARY
5478,-0.0565,-49.63,-48.96,STATIONARY
5543,-0.0432,-50.38,-49.92,STATIONARY
5610,-0.0310,-50.32,-50.19,DOWN
5675,-0.0579,-54.15,-52.86,DOWN
5741,-0.0297,-56.11,-55.05,DOWN
5807,-0.0508,-59.46,-58.02,DOWN
5874,-0.0449,-62.42,-60.99,DOWN
5940,-0.0477,-65.57,-64.08,DOWN
6005,-0.0525,-69.04,-67.42,DOWN
6072,-0.0469,-72.13,-70.60,DOWN
6137,-0.0418,-74.89,-73.49,DOWN
6203,-0.0301,-76.87,-75.77,DOWN
6269,0.0022,-76.73,-76.42,DOWN
6336,0.0664,-72.34,-73.67,DOWN
6401,0.1042,-65.47,-68.14,DOWN
6467,0.1115,-58.11,-61.37,DOWN
6533,0.1849,-45.91,-50.94,DOWN
6600,0.1485,-36.10,-40.93,DOWN
6665,0.1993,-22.95,-28.80,DOWN
6731,0.1945,-10.11,-16.19,DOWN
6798,0.2089,3.67,-2.79,DOWN
6863,0.1389,12.84,7.76,DOWN
6929,0.0998,19.43,15.63,DOWN
6995,0.0880,25.24,22.11,DOWN
7062,0.0217,26.67,25.18,DOWN
7127,0.0340,0.00,0.00,STATIONARY
7193,0.0591,3.74,2.53,STATIONARY
7260,-0.0278,1.83,2.06,STATIONARY
7326,0.0171,2.84,2.58,STATIONARY
7391,-0.0057,2.37,2.44,STATIONARY
7458,-0.0278,0.51,1.14,STATIONARY
7524,0.0221,1.89,1.64,STATIONARY
7589,-0.0205,0.51,0.88,STATIONARY
7655,0.0156,1.48,1.29,STATIONARY
7721,-0.0436,-1.34,-0.49,STATIONARY
7788,0.0322,0.75,0.35,STATIONARY
7853,-0.0312,-1.25,-0.73,STATIONARY
7920,0.0128,-0.39,-0.50,STATIONARY
7986,0.0093,0.21,-0.02,STATIONARY
8051,-0.0042,-0.06,-0.05,STATIONARY
8118,0.0054,0.28,0.17,STATIONARY
8183,-0.0158,-0.73,-0.44,STATIONARY
8249,0.0207,0.61,0.27,STATIONARY
8315,-0.0493,-2.54,-1.63,STATIONARY
8381,0.0195,-1.21,-1.34,STATIONARY
8448,-0.0222,-2.56,-2.17,STATIONARY
8514,0.0151,-1.50,-1.72,STATIONARY
8580,-0.0163,-2.47,-2.23,STATIONARY
8646,-0.0017,-2.48,-2.40,STATIONARY
8712,0.0063,-1.98,-2.12,STATIONARY
8777,-0.0018,-2.01,-2.05,STATIONARY
8843,0.0301,-0.03,-0.68,STATIONARY
8909,-0.0270,-1.74,-1.40,STATIONARY
8976,0.0105,-1.01,-1.13,STATIONARY
9041,-0.0196,-2.21,-1.86,STATIONARY
9108,0.0192,-0.90,-1.21,STATIONARY
9174,-0.0182,-2.02,-1.76,STATIONARY
9240,0.0086,-1.40,-1.52,STATIONARY
9305,-0.0046,-1.63,-1.59,STATIONARY
9371,-0.0123,-2.35,-2.10,STATIONARY
9438,0.0282,-0.46,-1.00,STATIONARY
9503,-0.0230,-1.90,-1.61,STATIONARY
9570,0.0409,0.76,-0.01,STATIONARY
9635,-0.0254,-0.87,-0.59,STATIONARY
9702,0.0110,-0.15,-0.29,STATIONARY
9768,-0.0099,-0.77,-0.61,STATIONARY
9833,0.0198,0.52,0.15,STATIONARY
9900,-0.0012,0.43,0.34,STATIONARY
9965,0.0220,1.80,1.32,STATIONARY
10031,0.0016,1.83,1.67,STATIONARY
10098,-0.0207,0.45,0.84,STATIONARY
10164,0.0220,1.82,1.50,STATIONARY
10229,-0.0191,0.54,0.85,STATIONARY
10295,0.0075,0.99,0.94,STATIONARY
10362,-0.0084,0.42,0.59,STATIONARY
10428,0.0471,3.38,2.47,STATIONARY
10493,-0.0303,1.33,1.70,STATIONARY
10560,0.0110,1.97,1.89,STATIONARY
10626,0.0056,2.25,2.13,STATIONARY
10691,-0.0039,1.91,1.98,STATIONARY
10758,0.0038,2.08,2.04,STATIONARY
10823,-0.0100,1.36,1.58,STATIONARY
10890,0.0386,3.75,3.05,STATIONARY
10955,-0.0321,1.57,2.05,STATIONARY
11021,0.0298,3.39,2.95,STATIONARY
11088,-0.0422,0.58,1.35,STATIONARY
11153,0.0112,1.27,1.29,STATIONARY
11220,-0.0158,0.22,0.57,STATIONARY
11285,0.0229,1.66,1.30,STATIONARY
11352,0.0104,2.25,1.94,STATIONARY
11418,-0.0304,0.23,0.79,STATIONARY
11483,0.0473,3.22,2.43,STATIONARY
11549,-0.0374,0.72,1.27,STATIONARY
11616,0.0337,2.83,2.32,STATIONARY
11681,-0.0407,0.14,0.85,STATIONARY
11748,0.0295,2.00,1.63,STATIONARY
11814,-0.0304,-0.00,0.53,STATIONARY
11880,-0.0081,-0.51,-0.18,STATIONARY
11945,0.0105,0.17,0.06,STATIONARY
12012,-0.0192,-1.05,-0.69,STATIONARY
12078,0.0139,-0.13,-0.31,STATIONARY
12143,-0.0386,-2.57,-1.84,STATIONARY
12209,0.0544,0.97,0.06,STATIONARY
12276,-0.0311,-1.04,-0.68,STATIONARY
12342,0.0141,-0.10,-0.29,STATIONARY
12408,-0.0223,-1.51,-1.12,STATIONARY
12474,0.0037,-1.22,-1.19,STATIONARY
12540,0.0118,-0.43,-0.67,STATIONARY
12605,-0.0131,-1.24,-1.05,STATIONARY
12671,0.0013,-1.11,-1.09,STATIONARY
12738,-0.0087,-1.61,-1.44,STATIONARY
12804,-0.0005,-1.58,-1.54,STATIONARY
12869,-0.0124,-2.31,-2.06,STATIONARY
12935,-0.0020,-2.34,-2.25,STATIONARY
13002,-0.0058,-2.61,-2.50,STATIONARY
13067,0.0055,-2.16,-2.27,STATIONARY
13133,-0.0033,-2.28,-2.28,STATIONARY
13200,-0.0109,-2.88,-2.69,STATIONARY
13266,0.0273,-1.04,-1.57,STATIONARY
13331,-0.0145,-1.91,-1.80,STATIONARY
13398,-0.0221,-3.23,-2.77,STATIONARY
13464,0.0148,-2.17,-2.36,STATIONARY
13530,0.0063,-1.68,-1.90,STATIONARY
13595,-0.0218,-2.99,-2.64,STATIONARY
13662,-0.0009,-2.93,-2.84,STATIONARY
13728,0.0043,-2.54,-2.64,STATIONARY
13793,0.0229,-0.99,-1.53,STATIONARY
13860,-0.0238,-2.46,-2.16,STATIONARY
13925,-0.0133,-3.20,-2.86,STATIONARY
13992,0.0053,-2.74,-2.78,STATIONARY
14057,0.0203,-1.34,-1.81,STATIONARY
14123,-0.0052,-1.62,-1.68,STATIONARY
14190,0.0076,-1.07,-1.27,STATIONARY
14255,-0.0018,-1.15,-1.19,STATIONARY
14321,-0.0251,-2.69,-2.20,STATIONARY
14388,0.0184,-1.42,-1.68,STATIONARY
14454,-0.0118,-2.11,-1.97,STATIONARY
14520,0.0154,-1.05,-1.35,STATIONARY
14585,-0.0099,-1.64,-1.55,STATIONARY
14652,-0.0019,-1.70,-1.65,STATIONARY
14718,0.0261,0.03,-0.52,STATIONARY
14783,-0.0270,-1.68,-1.30,STATIONARY
14849,-0.0249,-3.19,-2.58,STATIONARY
14916,0.0083,-2.54,-2.55,STATIONARY
14981,0.0224,-1.02,-1.52,STATIONARY
15048,-0.0331,-3.08,-2.57,STATIONARY
15113,0.0439,-0.17,-0.95,STATIONARY
15180,-0.0109,-0.85,-0.88,STATIONARY
15245,0.0047,-0.52,-0.64,STATIONARY
15312,-0.0019,-0.62,-0.63,STATIONARY
15378,0.0247,0.97,0.45,STATIONARY
15444,0.0202,2.21,1.64,STATIONARY
15509,-0.0459,-0.79,0.00,STATIONARY
15576,0.0380,1.65,1.12,STATIONARY
15642,-0.0130,0.76,0.88,STATIONARY
15707,0.0103,1.39,1.22,STATIONARY
15773,-0.0283,-0.46,0.09,STATIONARY
15840,0.0205,0.86,0.61,STATIONARY
15906,-0.0127,0.02,0.21,STATIONARY
15971,0.0034,0.23,0.23,STATIONARY
16038,0.0399,2.75,1.93,STATIONARY
16104,-0.0311,0.67,1.08,STATIONARY
16170,0.0076,1.12,1.11,STATIONARY
16235,-0.0284,-0.72,-0.12,STATIONARY
16301,0.0261,0.96,0.61,STATIONARY
16368,-0.0085,0.39,0.46,STATIONARY
16433,0.0014,0.46,0.46,STATIONARY
16500,-0.0125,-0.35,-0.09,STATIONARY
16565,-0.0094,-0.93,-0.66,STATIONARY
16632,0.0250,0.69,0.25,STATIONARY
16698,-0.0134,-0.19,-0.05,STATIONARY
16763,0.0165,0.86,0.57,STATIONARY
16830,-0.0278,-0.93,-0.45,STATIONARY
16895,0.0417,1.75,1.03,STATIONARY
16962,-0.0214,0.32,0.55,STATIONARY
17027,0.0160,1.32,1.07,STATIONARY
17094,-0.0333,-0.84,-0.22,STATIONARY
