time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,0.0366,0.0000,-0.57,-0.57,STATIONARY
10,0.0466,0.0000,-0.57,-0.57,STATIONARY
19,0.0119,0.0000,-0.57,-0.57,STATIONARY
30,0.0171,0.0000,-0.57,-0.57,STATIONARY
40,0.0401,0.0000,-0.57,-0.57,STATIONARY
50,0.0404,0.0000,-0.57,-0.57,STATIONARY
60,0.0205,0.0000,-0.57,-0.57,STATIONARY
70,0.0208,0.0000,-0.57,-0.57,STATIONARY
80,0.0353,0.0000,-0.57,-0.57,STATIONARY
89,0.0383,0.0000,-0.57,-0.57,STATIONARY
100,0.0187,0.0000,-0.57,-0.57,STATIONARY
110,0.0087,0.0000,-0.57,-0.57,STATIONARY
120,0.0184,0.0000,-0.57,-0.57,STATIONARY
130,0.0393,0.0000,-0.57,-0.57,STATIONARY
140,0.0191,0.0000,-0.57,-0.57,STATIONARY
150,0.0424,0.0000,-0.57,-0.57,STATIONARY
159,0.0347,0.0000,-0.57,-0.57,STATIONARY
170,0.0268,0.0000,-0.57,-0.57,STATIONARY
180,0.0181,0.0000,-0.57,-0.57,STATIONARY
190,0.0253,0.0000,-0.57,-0.57,STATIONARY
200,0.0175,0.0000,-0.57,-0.57,STATIONARY
210,0.0330,0.0000,-0.57,-0.57,STATIONARY
220,0.0123,0.0000,-0.57,-0.57,STATIONARY
229,0.0247,0.0000,-0.57,-0.57,STATIONARY
240,0.0198,0.0000,-0.57,-0.57,STATIONARY
250,0.0175,0.0000,-0.57,-0.57,STATIONARY
260,0.0227,0.0000,-0.57,-0.57,STATIONARY
270,0.0232,0.0000,-0.57,-0.57,STATIONARY
280,0.0257,0.0000,-0.57,-0.57,STATIONARY
290,0.0284,0.0000,-0.57,-0.57,STATIONARY
300,0.0204,0.0000,-0.57,-0.57,STATIONARY
310,0.0249,0.0000,-0.57,-0.57,STATIONARY
320,0.0232,0.0000,-0.57,-0.57,STATIONARY
330,0.0173,0.0000,-0.57,-0.57,STATIONARY
340,0.0073,0.0000,-0.57,-0.57,STATIONARY
350,0.0154,0.0000,-0.57,-0.57,STATIONARY
360,0.0093,0.0000,-0.57,-0.57,STATIONARY
370,0.0096,0.0000,-0.57,-0.57,STATIONARY
380,0.0337,0.0000,-0.57,-0.57,STATIONARY
390,0.0114,0.0000,-0.57,-0.57,STATIONARY
