time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0119,0.0000,0.00,0.00,STATIONARY
66,-0.0066,0.0000,0.00,0.00,STATIONARY
132,-0.0153,0.0000,0.00,0.00,STATIONARY
198,0.0014,0.0000,0.00,0.00,STATIONARY
264,-0.0035,0.0000,0.00,0.00,STATIONARY
330,0.0037,0.0000,0.00,0.00,STATIONARY
396,0.0120,0.0000,0.00,0.00,STATIONARY
462,-0.0202,0.0000,0.00,0.00,STATIONARY
528,-0.0039,0.0000,0.00,0.00,STATIONARY
594,0.0054,0.0000,0.00,0.00,STATIONARY
659,-0.0067,0.0000,0.00,0.00,STATIONARY
726,0.0010,0.0000,0.00,0.00,STATIONARY
792,-0.0024,0.0000,0.00,0.00,STATIONARY
858,-0.0262,0.0000,0.00,0.00,STATIONARY
924,0.0130,0.0000,0.00,0.00,STATIONARY
990,-0.0205,0.0000,0.00,0.00,STATIONARY
1056,-0.0051,0.0000,0.00,0.00,STATIONARY
1121,-0.0003,0.0000,0.00,0.00,STATIONARY
1188,-0.0230,0.0000,0.00,0.00,STATIONARY
1254,-0.0027,0.0000,0.00,0.00,STATIONARY
1320,-0.0004,0.0000,0.00,0.00,STATIONARY
1386,0.0007,0.0000,0.00,0.00,STATIONARY
1452,-0.0214,0.0000,0.00,0.00,STATIONARY
1518,-0.0109,0.0000,0.00,0.00,STATIONARY
1583,-0.0035,0.0000,0.00,0.00,STATIONARY
1650,0.0123,0.0000,0.00,0.00,STATIONARY
1716,0.0041,0.0000,0.00,0.00,STATIONARY
1782,-0.0041,0.0000,0.00,0.00,STATIONARY
1848,-0.0034,0.0000,0.00,0.00,STATIONARY
1914,0.0097,0.0000,0.00,0.00,STATIONARY
1979,-0.0127,0.0000,0.00,0.00,STATIONARY
2046,0.0058,0.0000,0.00,0.00,STATIONARY
2112,0.0076,0.0000,0.00,0.00,STATIONARY
2178,0.0114,0.0000,0.00,0.00,STATIONARY
2244,0.0100,0.0000,0.00,0.00,STATIONARY
2309,-0.0060,0.0000,0.00,0.00,STATIONARY
