time_ms,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0997,-2.35,-0.63,STATIONARY
65,0.1455,6.97,4.50,STATIONARY
131,-0.1674,-3.92,-1.18,STATIONARY
197,0.1005,2.61,1.38,STATIONARY
264,-0.0416,-0.13,0.36,STATIONARY
330,0.0703,4.33,3.04,STATIONARY
396,-0.1333,-4.29,-1.91,STATIONARY
462,0.1145,3.13,1.49,STATIONARY
527,0.1047,9.64,6.99,STATIONARY
593,-0.1280,1.15,3.05,STATIONARY
660,-0.0887,-4.52,-2.06,STATIONARY
726,0.1595,5.77,3.22,STATIONARY
792,-0.0007,5.49,4.75,STATIONARY
857,-0.1883,-6.66,-2.94,STATIONARY
924,0.0954,-0.34,-1.19,STATIONARY
990,0.1351,8.23,5.16,STATIONARY
1055,-0.1673,-2.70,-0.14,STATIONARY
1122,0.0724,2.00,1.30,STATIONARY
1188,-0.1089,-4.98,-2.94,STATIONARY
1253,-0.1465,-14.07,-10.45,STATIONARY
1320,0.2108,-0.15,-3.50,STATIONARY
1385,0.3247,20.43,12.64,STATIONARY
1452,-0.6292,-20.26,-9.55,STATIONARY
1517,0.7643,28.98,16.44,STATIONARY
1583,0.0711,32.33,27.16,STATIONARY
1650,0.5757,67.53,54.39,UP
1715,0.6869,108.37,90.81,UP
1782,0.6960,148.16,129.50,UP
1847,0.5454,176.82,161.42,UP
1914,-1.0271,104.69,123.15,UP
1979,-0.9154,42.51,68.75,UP
2045,-0.9521,-19.52,9.20,UP
2112,-0.7590,-66.84,-42.10,UP
2178,-0.2028,-77.03,-65.67,UP
2243,-0.0434,-76.71,-73.12,UP
2310,-0.9160,-131.70,-112.64,UP
2376,-0.4784,-156.78,-142.42,UP
2442,-0.2546,-166.67,-158.78,UP
2507,-0.3929,-184.93,-176.43,UP
2573,-0.3039,-196.83,-190.19,UP
2640,-0.3986,-214.25,-206.42,UP
2705,-0.5807,-242.52,-230.77,UP
2772,-0.4207,-259.52,-250.17,UP
2838,-1.2951,-331.26,-304.88,UP
2904,-1.1132,-388.62,-361.37,UP
2970,0.4558,-344.26,-349.83,UP
3035,1.2859,-249.07,-281.85,UP
3102,0.8315,-186.45,-217.49,UP
3167,1.0656,-111.50,-145.98,UP
3233,0.1874,-95.18,-111.71,UP
3300,0.9308,-32.41,-58.21,UP
3366,0.0485,-28.05,-37.86,UP
3432,0.5725,9.35,-6.01,UP
3497,0.0373,11.34,5.70,UP
3564,-0.3832,-13.39,-7.18,UP
3629,0.4337,14.63,7.53,UP
3696,0.2894,32.38,24.30,UP
3762,1.2476,110.16,82.22,UP
3828,-0.2422,90.42,87.75,UP
3893,0.8753,142.29,124.55,UP
3960,-0.0532,133.25,130.42,UP
4026,0.1541,137.71,135.34,UP
4092,0.1569,142.17,139.95,UP
4157,0.0587,140.23,140.14,UP
4223,0.0371,137.00,138.02,UP
4290,-0.1145,124.28,128.75,UP
4355,-0.3841,95.00,105.98,UP
4422,-0.2850,73.15,83.83,UP
4487,-0.1363,61.60,68.83,UP
4554,-0.0003,59.13,62.29,UP
4619,0.0457,59.67,60.52,UP
4685,0.2658,74.14,69.71,UP
4752,0.4815,101.70,91.29,UP
4817,-0.1368,88.99,89.74,UP
4883,0.3416,107.09,101.44,UP
4950,-0.3844,78.46,85.94,UP
5016,-0.1336,66.88,73.08,UP
5082,0.1777,75.47,74.69,UP
5147,0.0601,76.28,75.76,UP
5213,0.3021,92.38,86.97,UP
5280,-0.1605,78.53,81.28,UP
5345,0.2678,92.38,88.77,UP
5412,0.1637,99.07,95.72,UP
5478,0.1649,105.58,102.37,UP
5543,-0.3381,79.95,87.24,UP
5610,-0.2962,57.99,67.51,UP
5676,-0.1991,43.07,51.02,UP
5742,0.0511,44.60,46.69,UP
5807,0.2605,59.33,55.21,UP
5874,0.1879,68.87,64.43,UP
5940,-0.6502,24.93,37.78,UP
6006,-0.6114,-14.81,2.30,UP
6072,-0.4012,-39.65,-26.00,UP
6137,0.2703,-20.94,-22.59,UP
6204,-0.7335,-66.59,-52.28,UP
6269,0.1042,-57.34,-55.69,UP
6335,-0.6506,-96.29,-83.08,UP
6402,-0.5377,-126.53,-112.39,UP
6468,-1.4707,-214.69,-181.40,UP
6533,0.5664,-170.25,-173.88,UP
6600,-0.5689,-199.52,-191.18,UP
6666,-0.3006,-210.63,-204.30,UP
6732,0.0125,-201.45,-202.38,UP
6797,-0.1728,-204.38,-203.73,UP
6864,0.0291,-194.40,-197.44,UP
6930,0.0465,-183.71,-188.18,UP
6995,0.1484,-167.00,-173.89,UP
7062,0.0499,-157.19,-162.62,UP
7127,-0.1745,-161.98,-162.19,UP
7194,0.0026,-155.37,-157.59,UP
7259,0.2436,-133.75,-141.50,UP
7325,0.0218,-127.04,-131.75,UP
7392,-0.0190,-123.19,-125.97,UP
7457,0.1114,-111.23,-116.02,UP
7523,-0.2622,-123.41,-121.01,UP
7590,-0.0116,-119.23,-119.81,UP
7656,0.0411,-111.88,-114.46,UP
7722,0.0885,-101.82,-105.93,UP
7787,0.0320,-95.74,-99.05,UP
7854,-0.0871,-97.44,-97.97,UP
7920,-0.0307,-95.51,-96.31,UP
7985,-0.0715,-96.24,-96.26,UP
8052,0.2135,-78.88,-84.53,UP
8118,-0.0210,-77.06,-79.49,UP
8184,-0.0171,-75.08,-76.52,UP
8250,0.1046,-65.46,-69.06,UP
8315,0.0367,-60.53,-63.31,UP
8382,0.4616,-28.87,-40.07,UP
8447,0.1985,-15.14,-23.25,UP
8513,0.3008,4.53,-4.51,UP
8580,0.0627,8.33,4.15,UP
8645,0.1838,19.64,14.60,UP
8712,-0.0040,18.61,17.30,UP
8777,0.6374,58.26,44.93,UP
8844,0.6514,97.22,80.21,UP
8909,-0.0236,91.86,88.07,UP
8975,0.2278,102.63,97.89,UP
9042,0.1108,105.57,103.07,UP
9108,0.4897,132.40,122.86,UP
9173,-0.0824,121.91,122.22,UP
9240,0.4669,146.64,138.70,UP
9306,0.2544,156.93,150.99,UP
9371,-0.5508,115.77,127.23,UP
9437,0.3668,134.41,132.08,UP
9503,-0.1733,118.08,122.63,UP
9570,0.3143,133.29,129.82,UP
9635,0.0262,129.64,129.70,UP
9702,0.3836,148.79,142.58,UP
9768,-0.3134,123.01,129.38,UP
9833,-0.0732,113.47,118.65,UP
9900,-0.2308,94.33,102.24,UP
9965,-0.2555,74.38,83.45,UP
10032,0.0195,72.66,76.17,UP
10097,0.4901,100.82,92.80,UP
10164,-0.1163,89.44,90.53,UP
10230,0.0687,90.23,90.33,UP
10296,-0.2447,71.13,77.38,UP
10362,0.2986,87.22,84.02,UP
10427,-0.3883,59.14,67.24,UP
10494,0.1895,68.80,68.29,UP
10560,-0.3120,46.28,53.44,UP
10625,0.2047,57.41,56.12,UP
10692,0.5966,92.94,80.96,UP
10758,-0.1956,76.84,78.18,UP
10823,-0.1898,61.75,67.10,UP
10890,-0.0204,58.00,60.96,UP
10956,0.3660,78.88,73.05,UP
11022,-0.0805,70.64,71.42,UP
11087,0.2978,86.70,81.73,UP
11153,0.1021,89.71,87.12,UP
11220,0.4782,116.45,106.91,UP
11285,0.0621,115.75,112.87,UP
11352,0.2833,129.09,123.81,UP
11417,-0.4759,93.80,103.56,UP
11484,0.1006,96.44,98.76,UP
11550,-0.0071,92.15,94.30,UP
11615,0.0339,90.63,91.82,UP
11682,-0.3262,66.35,74.64,UP
11747,-0.1784,52.40,59.63,UP
11813,-0.0344,48.13,51.87,UP
11880,-0.6863,2.72,18.71,UP
11946,-0.5613,-32.96,-16.14,UP
12012,-1.1755,-106.14,-76.86,UP
12077,-1.0650,-169.40,-139.29,UP
12144,-1.3273,-246.77,-211.80,UP
12210,-0.6445,-277.78,-256.31,UP
12276,-0.4608,-295.92,-283.04,UP
12342,1.0064,-220.36,-240.75,UP
12408,-0.4552,-240.43,-240.54,UP
12474,0.1746,-219.80,-226.55,UP
12540,0.7156,-165.69,-185.49,UP
12606,0.6033,-120.87,-141.89,UP
12672,0.3697,-92.62,-108.65,UP
