time_ms,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,0.0104,1.20,0.95,STATIONARY
66,-0.0066,0.74,0.81,STATIONARY
132,0.0170,1.78,1.47,STATIONARY
198,0.0020,1.84,1.72,STATIONARY
264,-0.0140,0.88,1.15,STATIONARY
330,0.0056,1.20,1.19,STATIONARY
396,-0.0014,1.07,1.10,STATIONARY
462,-0.0030,0.83,0.92,STATIONARY
528,-0.0038,0.56,0.68,STATIONARY
594,-0.0050,0.22,0.37,STATIONARY
660,0.0020,0.34,0.35,STATIONARY
726,-0.0051,0.00,0.11,STATIONARY
792,-0.0077,-0.49,-0.29,STATIONARY
858,0.0132,0.37,0.16,STATIONARY
924,-0.0026,0.19,0.18,STATIONARY
990,-0.0065,-0.23,-0.10,STATIONARY
1056,0.0142,0.68,0.43,STATIONARY
1122,-0.0090,0.09,0.20,STATIONARY
1188,0.0081,0.60,0.47,STATIONARY
1254,0.0003,0.59,0.55,STATIONARY
1320,-0.0150,-0.38,-0.08,STATIONARY
1386,0.0020,-0.24,-0.19,STATIONARY
1452,-0.0160,-1.24,-0.90,STATIONARY
1518,-0.0161,-2.22,-1.79,STATIONARY
1584,0.0166,-1.08,-1.31,STATIONARY
1650,-0.0024,-1.19,-1.23,STATIONARY
1716,0.0015,-1.05,-1.11,STATIONARY
1782,0.0084,-0.47,-0.68,STATIONARY
1848,-0.0043,-0.73,-0.71,STATIONARY
1914,0.0128,0.12,-0.15,STATIONARY
1980,-0.0025,-0.04,-0.08,STATIONARY
2046,0.0017,0.06,0.02,STATIONARY
2112,0.0033,0.27,0.19,STATIONARY
2178,-0.0075,-0.22,-0.09,STATIONARY
2244,0.0044,0.07,0.02,STATIONARY
2310,0.0004,0.09,0.07,STATIONARY
2376,0.0016,0.19,0.15,STATIONARY
2442,0.0079,0.68,0.51,STATIONARY
2508,0.0030,0.84,0.73,STATIONARY
2574,-0.0125,0.01,0.25,STATIONARY
2640,0.0072,0.47,0.40,STATIONARY
2706,-0.0069,0.01,0.14,STATIONARY
2772,-0.0015,-0.08,-0.01,STATIONARY
2838,-0.0093,-0.67,-0.46,STATIONARY
2904,-0.0049,-0.95,-0.79,STATIONARY
2970,0.0068,-0.48,-0.58,STATIONARY
3036,0.0094,0.13,-0.10,STATIONARY
3102,-0.0006,0.09,0.03,STATIONARY
3168,0.0007,0.13,0.10,STATIONARY
3234,-0.0051,-0.20,-0.10,STATIONARY
3300,0.0040,0.06,0.01,STATIONARY
3366,0.0043,0.33,0.23,STATIONARY
3432,0.0051,0.64,0.51,STATIONARY
3498,0.0055,0.97,0.82,STATIONARY
3564,-0.0038,0.69,0.73,STATIONARY
3630,0.0048,0.96,0.89,STATIONARY
3696,-0.0115,0.20,0.42,STATIONARY
3762,0.0013,0.28,0.32,STATIONARY
3828,0.0012,0.34,0.33,STATIONARY
3894,-0.0021,0.19,0.24,STATIONARY
3960,0.0027,0.36,0.32,STATIONARY
4026,-0.0038,0.10,0.17,STATIONARY
4092,0.0093,0.69,0.52,STATIONARY
4158,-0.0016,0.56,0.54,STATIONARY
4224,0.0005,0.56,0.56,STATIONARY
4290,0.0020,0.67,0.63,STATIONARY
4356,0.0033,0.85,0.78,STATIONARY
4422,-0.0039,0.57,0.64,STATIONARY
4488,0.0008,0.60,0.61,STATIONARY
4554,-0.0071,0.12,0.28,STATIONARY
4620,0.0000,0.12,0.17,STATIONARY
4686,0.0079,0.61,0.47,STATIONARY
4752,0.0092,1.17,0.94,STATIONARY
4818,-0.0159,0.12,0.39,STATIONARY
4884,0.0143,1.02,0.82,STATIONARY
4950,-0.0031,0.78,0.80,STATIONARY
5016,-0.0035,0.53,0.62,STATIONARY
5082,0.0116,1.25,1.04,STATIONARY
5148,0.0082,1.71,1.50,STATIONARY
5214,-0.0117,0.91,1.10,STATIONARY
5280,0.0041,1.13,1.12,STATIONARY
5346,-0.0090,0.51,0.71,STATIONARY
5412,0.0051,0.81,0.78,STATIONARY
5478,-0.0063,0.38,0.51,STATIONARY
5543,-0.0573,-3.27,-2.04,STATIONARY
5610,-0.0422,-5.81,-4.59,STATIONARY
5676,-0.0280,-7.36,-6.46,STATIONARY
5742,-0.0400,-9.60,-8.58,STATIONARY
5808,-0.0381,-11.64,-10.64,STATIONARY
5874,-0.0247,-12.74,-12.05,STATIONARY
5940,-0.0330,-14.32,-13.58,STATIONARY
6006,-0.0314,-15.74,-15.04,STATIONARY
6072,-0.0218,-16.50,-16.02,STATIONARY
6138,-0.0914,-21.63,-19.81,STATIONARY
6204,-0.1058,-27.48,-24.98,STATIONARY
6270,-0.0983,-32.61,-30.13,STATIONARY
6336,-0.0751,-36.07,-34.14,STATIONARY
6402,-0.0638,-38.68,-37.20,STATIONARY
6468,-0.0684,-41.48,-40.08,STATIONARY
6534,-0.0574,-43.46,-42.36,STATIONARY
6600,-0.0561,-45.29,-44.34,STATIONARY
6666,-0.0491,-46.60,-45.86,STATIONARY
6732,-0.0484,-47.81,-47.18,STATIONARY
6798,-0.0354,-48.15,-47.83,STATIONARY
6864,-0.0431,-48.96,-48.59,STATIONARY
6930,-0.0499,-50.17,-49.66,STATIONARY
6996,-0.0408,-50.76,-50.40,DOWN
7062,-0.0416,-51.37,-51.05,DOWN
7128,-0.0478,-52.35,-51.93,DOWN
7194,-0.0235,-51.76,-51.81,DOWN
7260,-0.0219,-51.08,-51.32,DOWN
7326,-0.0383,-51.48,-51.43,DOWN
7392,-0.0384,-51.86,-51.72,DOWN
7458,-0.0366,-52.11,-51.98,DOWN
7524,-0.0427,-52.75,-52.50,DOWN
7590,-0.0521,-53.94,-53.47,DOWN
7656,0.0083,-51.27,-51.99,DOWN
