time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,0.0029,0.0000,0.00,0.00,STATIONARY
10,0.0004,0.0000,0.00,0.00,STATIONARY
20,-0.0048,0.0000,0.00,0.00,STATIONARY
29,-0.0005,0.0000,0.00,0.00,STATIONARY
40,-0.0077,0.0000,0.00,0.00,STATIONARY
50,-0.0028,0.0000,0.00,0.00,STATIONARY
60,-0.0026,0.0000,0.00,0.00,STATIONARY
70,-0.0054,0.0000,0.00,0.00,STATIONARY
80,0.0248,0.0000,0.00,0.00,STATIONARY
90,-0.0100,0.0000,0.00,0.00,STATIONARY
100,-0.0107,0.0000,0.00,0.00,STATIONARY
110,-0.0138,0.0000,0.00,0.00,STATIONARY
120,0.0053,0.0000,0.00,0.00,STATIONARY
130,-0.0012,0.0000,0.00,0.00,STATIONARY
140,0.0041,0.0000,0.00,0.00,STATIONARY
150,0.0123,0.0000,0.00,0.00,STATIONARY
160,0.0117,0.0000,0.00,0.00,STATIONARY
170,-0.0010,0.0000,0.00,0.00,STATIONARY
180,0.0035,0.0000,0.00,0.00,STATIONARY
190,-0.0030,0.0000,0.00,0.00,STATIONARY
200,0.0015,0.0000,0.00,0.00,STATIONARY
210,-0.0070,0.0000,0.00,0.00,STATIONARY
220,-0.0009,0.0000,0.00,0.00,STATIONARY
230,0.0030,0.0000,0.00,0.00,STATIONARY
240,0.0049,0.0000,0.00,0.00,STATIONARY
249,0.0053,0.0000,0.00,0.00,STATIONARY
260,-0.0039,0.0000,0.00,0.00,STATIONARY
270,-0.0058,0.0000,0.00,0.00,STATIONARY
280,-0.0043,0.0000,0.00,0.00,STATIONARY
290,-0.0006,0.0000,0.00,0.00,STATIONARY
300,0.0053,0.0000,0.00,0.00,STATIONARY
310,-0.0059,0.0000,0.00,0.00,STATIONARY
320,0.0107,0.0000,0.00,0.00,STATIONARY
330,-0.0175,0.0000,0.00,0.00,STATIONARY
340,-0.0083,0.0000,0.00,0.00,STATIONARY
350,-0.0001,0.0000,0.00,0.00,STATIONARY
360,0.0014,0.0000,0.00,0.00,STATIONARY
370,-0.0084,0.0000,0.00,0.00,STATIONARY
380,0.0071,0.0000,0.00,0.00,STATIONARY
389,0.0012,0.0000,0.00,0.00,STATIONARY
400,0.0045,0.0000,0.00,0.00,STATIONARY
410,0.0037,0.0000,0.00,0.00,STATIONARY
420,0.0070,0.0000,0.00,0.00,STATIONARY
430,0.0077,0.0000,0.00,0.00,STATIONARY
440,0.0094,0.0000,0.00,0.00,STATIONARY
450,0.0113,0.0000,0.00,0.00,STATIONARY
460,-0.0076,0.0000,0.00,0.00,STATIONARY
470,0.0051,0.0000,0.00,0.00,STATIONARY
480,0.0119,0.0000,0.00,0.00,STATIONARY
490,-0.0011,0.0000,0.00,0.00,STATIONARY
500,-0.0058,0.0000,0.00,0.00,STATIONARY
