time_ms,original_az,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0013,0.0000,0.00,0.00,STATIONARY
66,-0.0052,0.0000,0.00,0.00,STATIONARY
132,-0.0059,0.0000,0.00,0.00,STATIONARY
198,-0.0110,0.0000,0.00,0.00,STATIONARY
264,-0.0082,0.0000,0.00,0.00,STATIONARY
330,-0.0059,0.0000,0.00,0.00,STATIONARY
396,-0.0125,0.0000,0.00,0.00,STATIONARY
462,-0.0103,0.0000,0.00,0.00,STATIONARY
528,-0.0225,0.0000,0.00,0.00,STATIONARY
594,-0.0208,0.0000,0.00,0.00,STATIONARY
660,-0.0340,0.0000,0.00,0.00,STATIONARY
726,-0.0211,0.0000,0.00,0.00,STATIONARY
792,0.0014,0.0000,0.00,0.00,STATIONARY
858,-0.0162,0.0000,0.00,0.00,STATIONARY
924,-0.0388,0.0000,0.00,0.00,STATIONARY
990,-0.0311,0.0000,0.00,0.00,STATIONARY
1056,-0.0216,0.0000,0.00,0.00,STATIONARY
1122,-0.0152,0.0000,0.00,0.00,STATIONARY
1188,-0.0232,0.0000,0.00,0.00,STATIONARY
1254,-0.0233,0.0000,0.00,0.00,STATIONARY
1320,-0.0149,0.0000,0.00,0.00,STATIONARY
1386,-0.0087,0.0000,0.00,0.00,STATIONARY
1452,-0.0281,0.0000,0.00,0.00,STATIONARY
1518,-0.0347,0.0000,0.00,0.00,STATIONARY
1584,-0.0393,0.0000,0.00,0.00,STATIONARY
1649,-0.0270,0.0000,0.00,0.00,STATIONARY
1716,-0.0233,0.0000,0.00,0.00,STATIONARY
1782,-0.0540,0.0000,0.00,0.00,STATIONARY
1848,-0.0489,0.0000,0.00,0.00,STATIONARY
1914,-0.0761,0.0000,0.00,0.00,STATIONARY
1980,-0.0734,0.0000,0.00,0.00,STATIONARY
2046,-0.0818,0.0000,-15.27,-10.30,STATIONARY
2112,-0.1127,-0.1127,-22.71,-18.67,STATIONARY
2178,-0.1077,-0.1077,-29.82,-26.19,STATIONARY
2244,-0.0993,-0.0993,-36.37,-33.06,STATIONARY
2310,-0.1214,-0.1214,-44.39,-40.70,STATIONARY
2376,-0.1193,-0.1193,-52.26,-48.50,STATIONARY
2442,-0.1192,-0.1192,0.00,0.00,STATIONARY
2508,-0.1288,0.0000,0.00,0.00,STATIONARY
2574,-0.1163,0.0000,0.00,0.00,STATIONARY
2640,-0.1299,0.0000,-24.75,-16.70,STATIONARY
2706,-0.1303,-0.1303,-33.35,-27.93,STATIONARY
2772,-0.1527,-0.1527,-43.43,-38.39,STATIONARY
2838,-0.1326,-0.1326,-52.18,-47.70,STATIONARY
2904,-0.1354,-0.1354,-61.12,-56.75,STATIONARY
2970,-0.1387,-0.1387,-70.28,-65.88,DOWN
3036,-0.1476,-0.1476,-80.02,-75.42,DOWN
3102,-0.1563,-0.1563,-90.33,-85.48,DOWN
3168,-0.1611,-0.1611,-100.97,-95.93,DOWN
3234,-0.1524,-0.1524,-111.02,-106.11,DOWN
3300,-0.1612,-0.1612,-121.67,-116.61,DOWN
3366,-0.1760,-0.1760,-133.28,-127.85,DOWN
3432,-0.1850,-0.1850,-145.49,-139.75,DOWN
3498,-0.1574,-0.1574,-155.88,-150.63,DOWN
3564,-0.1739,-0.1739,-167.36,-161.92,DOWN
3630,-0.1434,-0.1434,-176.82,-171.97,DOWN
3696,-0.1934,-0.1934,-189.59,-183.86,DOWN
3762,-0.1698,-0.1698,-200.79,-195.28,DOWN
3828,-0.1680,-0.1680,-211.88,-206.48,DOWN
3894,-0.1748,-0.1748,-223.42,-217.91,DOWN
3960,-0.1874,-0.1874,-235.79,-229.97,DOWN
4026,-0.2139,-0.2139,-249.90,-243.42,DOWN
4092,-0.1989,-0.1989,-263.03,-256.65,DOWN
4158,-0.2016,-0.2016,-276.33,-269.92,DOWN
4224,-0.2278,-0.2278,-291.37,-284.39,DOWN
4290,-0.2134,-0.2134,-305.45,-298.60,DOWN
4356,-0.2265,-0.2265,-320.40,-313.30,DOWN
4422,-0.2110,-0.2110,-334.32,-327.48,DOWN
4488,-0.2270,-0.2270,-349.31,-342.21,DOWN
4554,-0.2168,-0.2168,-363.62,-356.65,DOWN
4620,-0.2234,-0.2234,-378.36,-371.30,DOWN
4686,-0.1858,-0.1858,-390.63,-384.34,DOWN
4752,-0.2074,-0.2074,-404.31,-397.81,DOWN
4818,-0.2097,-0.2097,-418.15,-411.53,DOWN
4884,-0.2306,-0.2306,-433.37,-426.26,DOWN
4950,-0.2309,-0.2309,-448.61,-441.34,DOWN
5016,-0.1798,-0.1798,-460.47,-454.25,DOWN
5082,-0.2108,-0.2108,-474.39,-467.84,DOWN
5148,-0.2004,-0.2004,-487.62,-481.18,DOWN
5214,-0.2068,-0.2068,-501.27,-494.73,DOWN
5280,-0.1961,-0.1961,-514.21,-507.87,DOWN
5346,-0.2024,-0.2024,-527.56,-521.16,DOWN
5412,-0.1999,-0.1999,-540.76,-534.38,DOWN
5478,-0.2009,-0.2009,-554.02,-547.63,DOWN
5544,-0.1966,-0.1966,-567.00,-560.69,DOWN
5610,-0.1993,-0.1993,-580.15,-573.82,DOWN
5676,-0.1914,-0.1914,-592.78,-586.61,DOWN
5742,-0.1930,-0.1930,-605.52,-599.36,DOWN
5808,-0.2229,-0.2229,-620.23,-613.44,DOWN
5874,-0.2031,-0.2031,-633.64,-627.07,DOWN
5940,-0.1770,-0.1770,-645.32,-639.38,DOWN
6006,-0.1815,-0.1815,-657.30,-651.47,DOWN
6072,-0.1732,-0.1732,-668.73,-663.11,DOWN
6138,-0.1871,-0.1871,-681.08,-675.23,DOWN
6204,-0.1839,-0.1839,-693.22,-687.37,DOWN
6270,-0.1927,-0.1927,-705.93,-699.89,DOWN
6336,-0.1588,-0.1588,-716.42,-711.04,DOWN
6402,-0.1749,-0.1749,-727.96,-722.45,DOWN
6468,-0.1388,-0.1388,-737.12,-732.34,DOWN
6534,-0.1457,-0.1457,-746.73,-742.05,DOWN
6600,-0.1208,-0.1208,-754.71,-750.59,DOWN
6666,-0.1158,-0.1158,-762.35,-758.52,DOWN
6732,-0.0919,-0.0919,-768.41,-765.19,DOWN
6798,-0.0678,-0.0678,-772.88,-770.38,DOWN
6864,-0.0485,0.0000,-772.88,-772.07,DOWN
6930,-0.0456,0.0000,-772.88,-772.62,DOWN
6996,-0.0429,0.0000,-772.88,-772.80,DOWN
7062,-0.0221,0.0000,-772.88,-772.86,DOWN
7128,-0.0052,0.0000,-772.88,-772.88,DOWN
7194,-0.0024,0.0000,-772.88,-772.88,DOWN
7260,0.0008,0.0000,-772.88,-772.88,DOWN
7326,0.0018,0.0000,-772.88,-772.88,DOWN
7392,0.0010,0.0000,-772.88,-772.88,DOWN
7458,0.0270,0.0000,-772.88,-772.88,DOWN
7524,0.0141,0.0000,-772.88,-772.88,DOWN
7590,-0.0044,0.0000,-772.88,-772.88,DOWN
7656,0.0159,0.0000,-772.88,-772.88,DOWN
7722,0.0188,0.0000,-772.88,-772.88,DOWN
7788,0.0096,0.0000,-772.88,-772.88,DOWN
7854,0.0414,0.0000,-772.88,-772.88,DOWN
7920,0.0024,0.0000,-772.88,-772.88,DOWN
7986,0.0210,0.0000,-772.88,-772.88,DOWN
8052,0.0267,0.0000,-772.88,-772.88,DOWN
8118,0.0215,0.0000,-772.88,-772.88,DOWN
8184,-0.0095,0.0000,-772.88,-772.88,DOWN
8250,0.0252,0.0000,-772.88,-772.88,DOWN
8316,0.0124,0.0000,-772.88,-772.88,DOWN
8382,0.0374,0.0000,-772.88,-772.88,DOWN
8448,0.0022,0.0000,-772.88,-772.88,DOWN
8514,0.0167,0.0000,-772.88,-772.88,DOWN
8580,0.0267,0.0000,-772.88,-772.88,DOWN
8645,0.0130,0.0000,-772.88,-772.88,DOWN
8712,0.0103,0.0000,-772.88,-772.88,DOWN
8778,-0.0161,0.0000,-772.88,-772.88,DOWN
8844,-0.0061,0.0000,-772.88,-772.88,DOWN
8910,0.0046,0.0000,-772.88,-772.88,DOWN
