time_ms,accel_z_mps2,velocity_mm_s,smooth_mm_s,direction
0,-0.0070,-11.86,-11.76,STATIONARY
65,-0.0042,-11.65,-11.69,STATIONARY
131,-0.0076,-11.67,-11.67,STATIONARY
197,-0.0086,-11.74,-11.72,STATIONARY
264,0.0034,-11.06,-11.28,STATIONARY
329,-0.0011,-10.69,-10.88,STATIONARY
395,-0.0083,-10.79,-10.82,STATIONARY
461,-0.0034,-10.57,-10.65,STATIONARY
527,-0.0083,-10.67,-10.66,STATIONARY
594,-0.0043,-10.52,-10.57,STATIONARY
659,0.0009,-10.04,-10.21,STATIONARY
725,-0.0096,-10.25,-10.24,STATIONARY
791,-0.0042,-10.10,-10.15,STATIONARY
857,-0.0092,-10.28,-10.24,STATIONARY
923,-0.0196,-11.11,-10.82,STATIONARY
989,-0.0084,-11.19,-11.07,STATIONARY
1055,-0.0238,-12.25,-11.87,STATIONARY
1121,-0.0206,-13.07,-12.68,STATIONARY
1187,-0.0101,-13.18,-13.02,STATIONARY
1253,-0.0048,-12.96,-12.98,STATIONARY
1319,-0.0080,-12.95,-12.96,STATIONARY
1385,0.0009,-12.37,-12.56,STATIONARY
1451,-0.0133,-12.72,-12.67,STATIONARY
1517,-0.0035,-12.43,-12.51,STATIONARY
1583,0.0030,-11.74,-11.99,STATIONARY
1649,-0.0139,-12.15,-12.10,STATIONARY
1715,-0.0096,-12.28,-12.22,STATIONARY
1782,-0.0052,-12.11,-12.15,STATIONARY
1847,-0.0049,-11.94,-12.01,STATIONARY
1913,-0.0119,-12.21,-12.15,STATIONARY
1979,0.0100,-11.09,-11.43,STATIONARY
2045,-0.0128,-11.45,-11.45,STATIONARY
2111,-0.0006,-11.04,-11.17,STATIONARY
2178,-0.0027,-10.77,-10.90,STATIONARY
2243,-0.0035,-10.56,-10.67,STATIONARY
2309,-0.0021,-10.27,-10.40,STATIONARY
2375,-0.0255,-11.48,-11.13,STATIONARY
2441,0.0047,-10.72,-10.85,STATIONARY
2507,0.0099,-9.67,-10.05,STATIONARY
2574,0.0144,-8.37,-8.92,STATIONARY
2640,0.0029,-7.85,-8.20,STATIONARY
2705,0.0004,-7.51,-7.73,STATIONARY
2771,-0.0021,-7.34,-7.47,STATIONARY
2838,-0.0066,-7.46,-7.47,STATIONARY
2904,-0.0199,-8.43,-8.11,STATIONARY
2969,-0.0062,-8.48,-8.36,STATIONARY
3035,0.0031,-7.95,-8.08,STATIONARY
3101,-0.0112,-8.34,-8.25,STATIONARY
3167,-0.0110,-8.70,-8.56,STATIONARY
3233,0.0008,-8.30,-8.39,STATIONARY
3299,-0.0101,-8.61,-8.54,STATIONARY
3366,-0.0011,-8.34,-8.40,STATIONARY
3431,0.0030,-7.81,-8.00,STATIONARY
3497,0.0007,-7.46,-7.63,STATIONARY
3564,0.0004,-7.13,-7.30,STATIONARY
3629,-0.0082,-7.36,-7.34,STATIONARY
3695,0.0058,-6.70,-6.91,STATIONARY
3761,0.0155,-5.45,-5.93,STATIONARY
3828,0.0044,-4.96,-5.27,STATIONARY
3893,-0.0094,-5.36,-5.33,STATIONARY
3959,0.0018,-5.03,-5.12,STATIONARY
4025,-0.0076,-5.31,-5.25,STATIONARY
4091,-0.0036,-5.32,-5.30,STATIONARY
4157,-0.0033,-5.32,-5.31,STATIONARY
4223,-0.0012,-5.18,-5.22,STATIONARY
4289,0.0045,-4.68,-4.86,STATIONARY
4356,0.0057,-4.14,-4.37,STATIONARY
4421,0.0063,-3.57,-3.83,STATIONARY
4487,-0.0113,-4.15,-4.04,STATIONARY
4554,0.0095,-3.38,-3.59,STATIONARY
4619,-0.0093,-3.83,-3.75,STATIONARY
4685,-0.0016,-3.78,-3.77,STATIONARY
4751,-0.0034,-3.84,-3.82,STATIONARY
4818,-0.0018,-3.80,-3.81,STATIONARY
4883,-0.0207,-4.96,-4.59,STATIONARY
4949,0.0072,-4.31,-4.40,STATIONARY
5015,0.0023,-3.99,-4.12,STATIONARY
5081,-0.0100,-4.46,-4.35,STATIONARY
5147,-0.0088,-4.84,-4.68,STATIONARY
5213,-0.0065,-5.06,-4.94,STATIONARY
5280,-0.0091,-5.44,-5.27,STATIONARY
5345,-0.0128,-6.03,-5.78,STATIONARY
